,62,900,Nabilatuk DLG,3,9,9.1,-,-.1,"782,733,754",2,4,4.1,-.2,-.3,"285,443,030",-.4,-.5,-.6,-.7,-.8,-.9
0,63,901,Nakapiripiri DLG,3,10,10,-,-,"601,490,500",4,20,7,9,4,"3,530,836,669",-,-,-,-,-,-
1,64,907,Napak DLG,2,5,5,-,-,"725,000,000",4,9,4,2,3,"2,075,000,000",-,-,-,-,-,-
2,65,821,Bulisa DLG,3,6,6,-,-,"3,131,683,474",4,8,3,4,1,"3,523,826,979",-,-,-,-,-,-
3,66,860,Kibale DLG,4,21,21,-,-,"3,389,295,587",3,11,5,6,-,"4,018,203,849",-,-,-,-,-,-
4,67,812,Bududa DLG,8,15,15,-,-,"1,700,000,000",4,16,9,7,-,"3,444,000,000",-,-,-,-,-,-
5,68,826,Butaleja DLG,6,23,23,-,-,"1,842,099,499",-,-,-,-,-,-,-,-,-,-,-,-
6,69,828,Butebo DLG,6,17,17,-,-,"800,000,000",5,17,5,8,3,"1,500,000,000",1,1,-,-,1,"2,000,000"
7,70,835,Ibanda DLG,4,26,26,-,-,"2,434,609,353",1,2,-,2,-,"1,080,419,110",1,1,-,-,1,"842,581,4 61"
8,71,840,Kabale DLG,5,28,28,-,-,"2,550,014,874",1,6,4,2,-,"1,252,525,879",1,7,-,-,7,"1,147,987 000"
9,72,851,Kanungu DLG,12,35,35,-,-,"8,203,236,000",6,6,-,6,-,"508,323,000",-,-,-,-,-,-
10,73,852,Kapchorwa DLG,3,26,26,-,-,"526,793,312",2,4,1,3,-,"1,215,416,981",-,-,-,-,-,-
11,74,859,Kazo DLG,3,5,5,-,-,"470,268,959",2,10,8,1,1,"3,956,301,500",1,2,-,-,2,"350,165,0 39"
12,75,864,Kiruhura DLG,5,16,16,-,-,"1,112,388,696",1,3,-,3,-,"2,534,832,552",-,-,-,-,-,-
13,76,866,Kisoro DLG,2,10,10,-,-,"3,189,156,000",3,11,-,11,-,"1,056,045,000",-,-,-,-,-,-
14,77,874,Kween DLG,3,4,4,-,-,"390,141,081",4,13,9,4,-,"13,742,415,076",-,-,-,-,-,-
15,78,608,Mbale City Council,7,11,11,-,-,"1,890,602,820",4,4,-,4,-,"10,122,869,787",-,-,-,-,-,-
16,79,891,Mbale DLG,1,25,25,-,-,"2,190,000,000",5,43,-,43,-,"2,200,000,000",-,-,-,-,-,-
17,80,609,Mbarara City Council,-,-,-,-,-,-,3,15,6,7,2,"10,623,265,861",-,-,-,-,-,-
18,81,892,Mbarara DLG,4,21,21,-,-,"244,838,140",3,13,-,13,-,"1,525,402,807",-,-,-,-,-,-
19,82,893,Mitooma DLG,4,13,13,-,-,"1,319,465,999",5,9,-,9,-,"16,114,423,338",1,2,-,-,2,"670,000,0 00"
20,83,919,Pallisa DLG,5,23,23,-,-,"2,496,788,458",3,7,2,5,-,"1,160,266,653",-,-,-,-,-,-
21,84,921,Rubanda DLG,3,26,26,-,-,"1,348,398,185",2,12,8,4,-,"10,124,286,797",-,-,-,-,-,-
22,85,922,Rubirizi DLG,2,10,10,-,-,"765,799,685",-,-,-,-,-,-,-,-,-,-,-,-
23,86,924,Rukungiri DLG,2,10,10,-,-,"684,600,418",6,6,-,5,1,"2,937,790,776",-,-,-,-,-,-
24,87,925,Rwampara DLG,5,19,19,-,-,"1,229,110,773",1,5,3,2,-,"353,951,000",-,-,-,-,-,-
25,88,928,Sheema DLG,2,16,16,-,-,"2,536,591,989",2,8,-,8,-,"258,627,143",-,-,-,-,-, 
26,89,816,Buikwe DLG,6,28,28,-, ,"8,128,934,577",9,60,43,10,7,"13,452,348,360", , , , , , 
27,90,827,Butambala DLG,10,87,87,-, ,"15,414,064,005",3,4, ,4, ,"1,646,350,000", , , , , , 
28,91,721,Mityana MC, , , ,-, , , , , , , , , , , , , , 
29,92,810,Arua DLG,3,14,14,-,-,"756,917,292",4,7,2,5,-,"8,743,367,921", , , , , , 
30,93,610,Soroti City,2,5,5,-,-,"230,000,000",4,7,1,5,-,"7,120,000,000",1,1,-,-,1,"1,020,000 000"
31,94,931,Terego DLG,6,16,16,-,-,"1,180,000,000",5,22,9,11,2,"5,360,000,000",-,-,-,-,-,-
32,95,817,Bukedea DLG,1,1,1,-,-,"512,002,000",5,14,2,12,-,"4,084,932,096",-,-,-,-,-,-
33,96,822,Bundibugyo DLG,2,11,11,-,-,"730,000,000",4,28,22,5,1,"6,840,000,000",-,-,-,-,-,-
