,Unnamed: 0,DLG,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,135.0,887.0,Maracha DLG,6,13,13,-,-,"521,000,000",4,13,-,12,1,"3,160,000,000", , , , , , 
1,136.0,726.0,Nebbi MC,4,18,18,-,-,"473,885,123", , , , , , , , , , , , 
2,137.0,926.0,Sembabule DLG,6,16,16,-,-,"2,115,589,367",3,7,-,7,-,"2,540,134,050", , , , , , 
3,138.0,927.0,Serere DLG,-,-,-,-,-,-,6,14,13,1,-,"1,877,037,058", , , , , , 
4,139.0,930.0,Soroti DLG,-,-,-,-,-,-,5,37,23,11,3,"8,333,498,364", , , , , , 
5,140.0,875.0,Kyankwanzi DLG,5,18,18,-,-,"3,571,250,556",2,6,3,2,1,"4,645,928,351",-,-,-,-,-,-
6,141.0,882.0,Luwero DLG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,142.0,813.0,Bugiri DLG,1,1,1,-,-,"132,000,000",2,5,-,5,-,"1,962,000,000",-,-,-,-,-,-
8,143.0,847.0,Kaliro DLG,1,1,1,-,-,"710,000,000",2,2,-,2,-,"170,000,000",-,-,-,-,-,-
9,144.0,845.0,Kalaki DLG,3,13,13,-,-,"594,000,000",3,3,-,3,-,"1,170,000,000",-,-,-,-,-,-
10,145.0,854.0,Karenga DLG,3,7,7,-,-,"268,000,000",4,7,2,4,1,"1,011,000,000",-,-,-,-,-,-
11,146.0,871.0,Kotido DLG,2,28,28,-,-,"1,696,000,000",1,3,-,3,-,"1,179,000,000",-,-,-,-,-,-
12,147.0,862.0,Kibuku DLG,9,28,28,-,-,"55,380,000,000",-,-,-,-,-,-,-,-,-,-,-,-
13,148.0,716.0,Kotido MC,3,6,6,-,-,"290,000,000",1,1,-,1,-,"20,000,000",-,-,-,-,-,-
14,149.0,886.0,Manafwa DLG,1,3,3,-,-,"350,000,000",4,30,5,25,-,"21,090,000,000",-,-,-,-,-,-
15,150.0,911.0,Ntungamo DLG,6,25,25,-,-,"5,880,000,000", ,2,-,2,-,"2,437,000,000",-,-,-,-,-,-
16,151.0,731.0,Tororo MC,3,7,7,-,-,"400,000,000",2,10,7,1,2,"11,700,000,000",-,-,-,-,-,-
17,152.0,857.0,Katakwi DLG,1,6,6,-,-,"141,792,060",-,-,-,-,-,-,-,-,-,-,-,-
18,153.0,889.0,Masindi DLG,5,14,14,-,-,"1,464,175,379",2,11,8,3,-,"2,617,879,766",-,-,-,-,-,-
19,154.0,811.0,Budaka DLG,9,25,25,-,-,"4,339,962,000",1,4,3,-,1,"328,049,000", , , , , , 
20,155.0,824.0,Bushenyi DLG,8,23,23,-,-,"1,783,509,171",4,4,-,4,-,"1,783,509,171",4,4,-,-,4,"162,251,1 82"
21,156.0,844.0,Kakumiro DLG,5,18,18,-,-,"2,314,259,265", , , , , , , , , , , , 
22,157.0,863.0,Kikuube DLG,6,28,28,-,-,"2,378,204,932",3,5,3,2,-,"1,796,467,034", , , , , , 
23,158.0,715.0,Koboko MC,8,17,17,-,-,"2,548,000,000",1,3,1,2,-,"150,000,000", , , , , , 
24,159.0,896.0,Moyo DLG,1,13,13,-, ,"180,000,000",4,19,12,3,4,"3,961,247,666", , , , , , 
25,160.0,710.0,Kapchorwa MC,10,25,25,-,-,"730,000,000",1,6,4,2,-,"320,000,000", , , , , , 
26,161.0,819.0,Bukwo DLG,5,24,24,-,-,"1,260,000,000", , , , , , , , , , , , 
27,162.0,825.0,Busia DLG,3,15,15,-,-,"2,300,000,000",4,55,44,7,3,"1,650,000,000",2,2,-,-,2,"120,000,0 00"
28, , , ,644,"2,4 22","2,4 22",-,-,"398,278,381,2 12",453,"1,8 92",873,879,140,"588,949,323,2 74",44,143,-,11,132,"21,884,4 44,403"
