,Sn,Outputs/activities,Budget Amount (UGX),Cumulative % share of the approved GOU budget
0,1.0,Self-handling Project,"17,927,195,254",15.25
1,2.0,Set up an Aircraft Maintenance Organization (AMO) and Staff Recruitments,"14,953,440,000",27.97
2,3.0,Trainings,"8,126,296,739",34.89
3,4.0,IOSA Audit,"3,600,000,000",37.95
4,5.0,Amadeus Passenger Service system Implementation,"3,034,000,000",40.53
5,6.0,Purchase of Baggage Reconciliation System,"1,355,384,000",41.68
6,7.0,Enterprise Resource Planning,"964,960,000",42.51
7,8.0,Purchase of a Cargo Management System and recruitment of Eight Cargo Staff,"866,000,000",43.24
8,9.0,Launch of long haul flights,"729,886,000",43.86
9,10.0,Purchase of Autura (RATT-Real Time Aircraft turnaround Tool) Software for Ramp Operations,"714,100,000",44.47
10,11.0,Safety Equipment for the Crisis Management Centre,"642,468,000",45.02
11,12.0,Baggage tracing Purchase of world tracer software for,"456,000,000",45.41
12,13.0,Airbus Inclusion on the AOC certification,"455,327,596",45.79
13,14.0,Agreements Membership Attain Multilateral Interline Traffic,"370,000,000",46.11
14,15.0,Limit Acquisition of a Trade Financing Credit,"259,000,000",46.33
15,16.0,Purchase of a staff van for airport staff,"237,998,800",46.53
16,17.0,"Feasibility studies in Accra, Goma, Lubumbashi, Cairo, Harare, Abidjan, Manzini, London, Mumbai, Telaviv, Guangzhou, Khartoum","149,961,000",46.66
17,18.0,Set up and maintenance of a 24 hour call centre in readiness for long haul operations,"24,050,000",46.68
18, ,Total,"54,866,067,389", 
