,Acronym,Meaning
0,ADB,African Development Bank
1,ADF,African Development Fund
2,GoU,Government of Uganda
3,IESBA,International Ethics Standards Board for Accountants
4,ISA,International Standards on Auditing
5,ISSAIs,International Standards of Supreme Audit Institutions
6,LVBC,Lake Victoria Basin Commission
7,MLVMCT,Multinational Lake Victoria Maritime Communications and Transport
8,MOFPED,"Ministry of Finance, Planning and Economic Development"
9,MoWT,Ministry of Works and Transport
10,PS/ST,Permanent Secretary / Secretary to the Treasury
11,UA,Unit of Account
12,UG,Uganda
13,UGX,Uganda Shillings
