,No,Observation,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Recommendation
0,1.1,"Receipts and utilization of funds Receipts The entity received a total of UGX 1,236,447,000 from different sources as summarised in the table below No. Details/Source 1 1.1 1.2 2 2.1 2.4 Receipts from Treasury Supplementary budget allocation Receipts from MPs Sub Total Donations Receipts from Local donations-Cash Receipts Cash Sub Total Total Receipts from Local donations-Non Amount (UGX) 165,000,000 60,000,000 225,000,000 27,500,000 983,947,000 1,011,447,000 1,236,447,000 a)", , , , , 
1, , , , , , , 
2, , , , , , , 
3, , , , , , , 
4, , , , , , , 
5, , , , , , , 
6, , , , , , , 
7, , , , , , , 
8, , , , , , , 
9, , , , , , , 
10, , , , , , , 
11, , , , , , , 
12, ,"b) Banking of cash receipts I observed that out of the cash received of UGX.87,500,000 only UGX.60,000,000 (68.6%) was banked on Gulu DLG collection Account in BOU while the balance of UGX.27,500,000 (31.4%) was used at source contrary to Paragraph 10.19.2 of the TIs, 2017 which exposes the funds to a risk of abuse. Accounting Officer explained that the money that was spent at source was used to handle Covid related emergencies which required urgent attention. The", , , , ,the I advised the Accounting Officer to always adhere to Treasury Instructions and ensure that all cash collections are promptly banked.
13,1.2,"Absorption and utilization of funds Out of the total receipts of UGX.252,500,000 (excluding non-cash donations) the entity absorbed UGX.212,500,000 representing absorption level of 84%. The balance of UGX 40,000,000 is part of the receipts from MPs whose cash limit was never given to the entity by the centre. The funds were spent as follows. No Details Amount (UGX) Percentage", , , , ,"I advised the Accounting Officer to follow up the UGX 40,000,000 that was retained by Treasury and ensure cash limits are obtained for the same."
