,WORKS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,S/n,Reg. No.,Make,Model/Ye ar,Type,Engine Model,Engine No.,Chassis No.,Remarks
1,1,LG0001 -030,CHANLIN G,713 (2012),Motor Grader,CUMIN- 6BTAS,3y 40301,71300070,Running
2,2,LG0002 -030,JAIFANG,CA3120P1K 2Y(2012),Damper Truck,CA611/125 Z1A2,51934960,CAC000906,Pending Repair
3,3,LG0003 -030,JMC ISUZU,JMC (2012),D/Cabin Pick-Up,JX1023DJB,JX49301,13CHP21324,Pending Repair
4,4,LG0003 -09,KOMAT’S U,D53A-17 (1996),Bull Dozer,6D125E-2,745090,82678,Under Repair
5,5,LG0002 -09,KOMAT’S U,GD511 A-1 (1992),Motor Grader,GD95L,64064,G51A-10213,Grounded
6,6,UR0531,U KOMAT’S,WA180 (1992),Wheel Loader,GD95L,93482,I2672,Running
7,8,UR 0590,MASSEY FUGAERS ON,MF 395 (1992),Tractor,142LT,312339V4794,34269M6135,To be boarded off
8,9,S/N.CS4 31B,CATERPI LLAR,MW(1992),Vibro Rollar,1XF,5711343A,1XF-0075,Pending Repair
9,10,UG 2035S,HINO,JD8CF (2015),Bore Hole Service Truck,JD8CF,JD8CF 43177,JHDGT1JHP0X X18596,Running
10,11,UG 1830W,KOMAT’S U,GD6125(20 17),Motor Grader,6D125,6D125-117292,KMTGDO28AH A001763,Running
11,12,UG 1929W,KOMAT’S U,WA250 (2017),Wheel Loader,SAA6D102 FF-2,6D102- 26497752,KMTWA0207H A72905,Running
12,13,UG 2425W,SAKAI,SV520D (2017),Vibrator Roller, , , ,Running
13,14,UG 2291W,FUSO,6D16 (2017),Water Bowser,6D16-,A71562,FM657F- A45427,Running
14,15,UG 2558 W,FUSO,6D16(2017),Truck Dumper,6D16-,A71562,FM657F- A45427,Running
15,16,UG 2307W,FUSO,6D16 (2017),Dumper Truck,6D16-,A70605,FM657F- A45226,Running
16,17,LG0146 -09,YAMAHA,9) DT125(200,Field M/Cycle,3HA,3HA-,L125S-,To Be Boarded Off
17,19,LG0094 -09,NISSAN HARD BODY,QD32 (2004),D/Cabin Pick-Up,QD32,J84033,ADJ84000D05 3804,Grounded
