,20,LG0134 -09,NISSAN HARD BODY,QD32 (2004),D/Cabin Pick-Up,Unnamed: 5,Unnamed: 6,Unnamed: 7,Running
0,21,LG0008 -09,ISUZU TRUCK,FTS (1992),Drilling Rig,6GB1, ,JAHFTS- 12HP8600012,Grounded To Be Boarded Off
1,24,LG0004 -030,JINCHEN G,JC125GY(,Sport M/Cycle,JC1566F, , ,Grounded To Be Boarded Off
2,25,LG0005 -030,JINCHEN G,JC125GY,Sport M/Cycle,JC1566F, , ,To Be Boarded Off
3,26,LG0137 -09,CHESS POOL EMPTIER,POOL TRUCK(200 0), , ,FC2WCA- 01467, ,Grounded
4,27,UFC 326C,YAMAHA,AG-125 (2020),Field M/Cycle,E-121E,E121E-013133,LBPCE26W0H -0013138,Brand New
5,S/N,REG. NO,MAKE,MODEL/YE AR,Type,ENGINE MODEL,ENGINE NO,CHASIS NO,Remark
6,1,uek 300z,Honda,xl 125l,Sport,XL-125,JD21E- 2223237,LTMJD2194F5 304997,Running
7,2,UEK 305Z,HONDA,XL 125L,Sport,XL 125L,JD21E- 2222859,LTMJD2193F5 304764,Running
8,3,UEK 306Z,HONDA,XL 125L,Sport,XL 125L,JD21E- 2223151,LTMJD2195F5 304958,Running
9,4,UG5331 M,YAMAHA,DT 125,Sport,DT 125,3TT-216066,DEO2X- 093315,Running
10,5,UG 4761 M,YAMAHA,DT 125,Sport,DT 125,3TT-215036,DEO2X- 092287,Running
11,6,UG 5205 M,YAMAHA,DT 125,Sport,DT 125,3TT-215916,DEO2X- 093166,Running
12,7,UG 4691 M,YAMAHA,DT 125,Sport,DT 125,3TT-21479,DE02X- 092041,Running
13,8,UEF 135Y,Bajaj Boxer,BN100/150,Sport,BN100/15 0,DUZWFL44648,MDZA18AZ9F WL36338,Running
14,9,UDX 590Z,HONDA,XL 125,Sport,XL-125, ,LTMJD195C52 02684,Running
15,10,UG 4400M,Yamaha,AG 100,Field,AG-100,3HA-195719,3HA-195877,Running
16,11,LG 010- 030,Yamaha,DT 125,Sport,DT-125,3TT-178708,DE02X- 055957,Running
17,12,UED 544G,Bajaj Boxer,BN100/150,Sport,BN100/15 0,MD2A18AZ2E WL,DUZWEL5048 0,Running
18,13,uek 300z,Honda,xl 125l,Sport,xl 125l,JD21E- 2223237,LTMJD2194F5 304997,Running
