,14,UEK 305Z,HONDA,XL 125L,Sport,XL 125L.1,JD21E- 2222859,LTMJD2193F5 304764,Running
0,15,UEK 306Z,HONDA,XL 125L,Sport,XL 125L,JD21E- 2223151,LTMJD2195F5 304958,Running
1,16,UDX 220 Z,HONDA,XL 125,Sport,XL 125,JDZ1E - 2010718,LTMD2194C5 208041,Running
2,17,UDX 591 Z,HONDA,XL 125,Sport,XL 125, , ,Running
3,18,UDX 722Y,HONDA,XL 125,Sport,XL 125,SDH152FM1-4,LTMJD2193C5 205261,Running
4,19,LG 0166-09,Yamaha,AG 100,Sport,AG 100,3HA-137592,3HA-137592,Running
5,20,UG 3889 M,SUSUKI,TF 125,Field,TF 125,TF125-145348,TF125- 145015,Running
6,21,LG0141 -09,YAMAHA,AG 100(2012),Field,AG 100,3HA-158670,3HA-158906,Running
7,22,UBA728 Y,YAMAHA,DT125 (2008),Sport,DT12Y,3TT-165451,DEO2X- 042704,Running
8,23,UBA729 Y,YAMAHA,DT-125 (2008),Field,DT-125,3TT-16544,DEO2X-2705,Running
9,24,UAC753,HONDA,XL-125,Sport,XL-125,JC30E8 3500637,9C2JD20103R 500637,Grounded
10,25,UG 3430 M,HONDA,XL-125,Sport,XL-125,L125SE*55892 5S, ,Running
11,26,UG 3662M,HONDA,XL-125,Sport,XL-125,L125SE- 5594677,LI25SE- 5740530,Stolen
12,27,UG 1733 M,YAMAHA-,DT 125,Sport,DT 125,3TT-127457,JYAD02X72A0 04701,Stolen
13,28,UG 2385 M,YAMAHA,AG 100,Field,AG 100,3HA-117554,3HA-118159,Running
14,29,UG 2306 M,YAMAHA,AG 100,Field,AG-100,3HA-117145,3HA-117288,Running
15,30,UG 2592 m,YAMAHA,bmk-l80,Sport,BMK-180,ite47sne*0500 0214,ny4yxae*075t 000194,Grounded
16,31,UG 2466 M,YAMAHA,bmk- cy80,Sport,BMK-CY8O,IPE47FME*05 000451,XLY4XAE*065 T000431X,Grounded
17,34,UG 3617 M,YAMAHA-,MBK-CY 80,Sport,MBK-CY 80,4GC0600560,4GC059978,Under REPAIR
18,36,UG 2040 M,SUZUKI-,TF 125,Field, ,TF125-145348,TF-125 145015,Grounded
19,37,UG 0812M,YAMAHA-,AG 100,Field, ,3HA-075968,3HA- 0762E064,Grounded
20,38, , , , , , , , 
