,39,UG 3502 M,MARUTI,2006,Ambulanc e,GYPSY,613BBN- 41500233761 S,Unnamed: 7,To Be Boarded Off
0,40,UG 3511 M,MARUTI,2006,Ambulanc e,GYPSY, , ,To Be Boarded Off
1,41,UG 3550 M,Nissan,2008,D/ Cabin, , , ,To Be Boarded Off
2,42,UG 0440 M,Ford Ranger,2006,D/ Cabin, , , ,To Be Boarded Off
3,43,LG 0172-09,Land cruiser,2014,Ambulanc e, , , ,Running
4,44,UG 6490M,TOYOTA HILUX,2019,D/ Cabin, ,2GD0761340,AHTFB8CD80 3875541,(Running )
5,45, ,YAMAHA,AG-125 (2020),Field M/Cycle,E-121E,E121E,LBPCE26W0H,Brand New
6,46, ,YAMAHA,AG-125 (2020),Field M/Cycle,E-121E,E121E,LBPCE26W0H,Brand New
7,S/N,REG. NO,MAKE,MODEL/YE AR,Type,ENGINE MODEL,ENGINE NO.,CHASS NO,Remarks
8,1,UG- 0153G,TF125CC,2008,Field,TF-125,TF-125-,TF-125-,To Be Boarded Off
9,2,LG0139 -09,TOYOTA,2009,Bonet Truck, ,IHZ-0585890,JTEED- 71J70700305 8,Grounded
10,4,UG0241 Y,-,2000,Field,AG-100,UGA66-102,4GC060072,Grounded To Be Boarded Off
11,5,LG0033 -030,YAMAHA,-,Field,AG-100,3HA-159401,3HA-159746,Grounded To Be Boarded Off
12,6,LG0034 -030,YAMAHA,-,Field, ,3HA-145708,3HA-145462,Grounded To Be Boarded Off
13,7,UG2029 R,JAILING,2008,Sport,L-125CC,156FM1*2008 000,LAAJKJG- 680000715,Grounded To Be Boarded Off
14,8,UG2072 R,JAILING,2008,Sport,L -125CC,156FM1*2008 603,LAAJKJG- 80000629,Grounded To Be Boarded Off
15,9,UG1548 R,JAILING,2008,Sport,L-125CC,156FM1*2008 000716,LAAJKJG- 680000830,Grounded To Be Boarded Off
16,10,UG0572,H0NDA,XL/2010,Sport,L125CC,JD21E- 2010634,LTMJD2193C5 208130,Running
