,11,UG1549 R,JAILING,2008,Sp0rt,L-125CC,156FM1*2008 000595,LAAJKJG- 780000802,To Be Boarded Off
0,12,UG1274 R,JAILING,2008,Sport,L-125CC,156FM1*2008 000451,LAAJKJG- 880000683,To Be Boarded Off
1,13,LG0021 -030,YAMAHA,XTZ/2015,Sport,L-25CC,E3N2E042786,LBPE1790000 17854,Running
2,14,LG0023 -030,YAMAHA,XTZ/2015,Sport,L-125CC,E3N2E042854,LBPKE179000 017792,Running
3,15,LG0029 -030,YAMAHA,XTZ/2015,Sport,L-125CC,E3N2E042566,LBPKE179000 017846,Running
4,16,LG0031 -030,YAMAHA,XTZ/2015,Sport,L-125 CC,E3N2E042849,LBPKE179000 017794,Running
5,17,LG0032 -030,YAMAHA,XTZ/2015,Sport,L-125CC,E3N2E042836,LBPKE179000 017798,Running
6,18,LG0030 -030,YAMAHA,XTZ/2015,Sport,L-125CC,E3N2E042788,LBPKE17900S 0017851,Lost
7,19,UG1006 Y,YAMAHA,XTZ/2018,Sport,L-125CC,E3N2E-077857,LBPKE179000 026539,Running
8,20,UG0876 Y,HONDA,CG/2017,Sport,L-125CC,WH156FMI2,LWDPCJ1F9G 1005108,Running
9,21,UG040Y,TOYOTA,HIACE,Toyota,3L-,-,-,Head Quarter For Repair
10,22,UG0740 Y,YAMAHA,XTZ/2017,Sport, ,E3N2E064146,LBPKE179000 022295,Running
11,23,UG0473 Z,FORD,-2011,D/Cabin,T8963II, ,AFA1XXXMJ2T BE12088,To Be Boarded Off
12,24,UG0937 Z,TOYOTA HILUX,2018,D/Cabin, , ,AHTKB3CD80 2624025,Running (New
13, , ,PRODUC TION, , , , , , 
14,S/N,REG. NO.,MAKE,MODEL/YE AR,Type,EGINE MODEL,ENGINE NO.,CHASS NO.,Remarks
15,1,UG 2482A,YAMAHA,2017,Sport,XTZ-125,E3N2E-056238,LBPKE- 17900002105 9,Running
16,2,UG3279 R,YAMAHA,2018,Sport,XTZ-125,E3N2E-067522,LBPKE- 17900002362 1,New
