,3,UG3277 R,YAMAHA,2018,Sport,XTZ-125,E3N2E-067393,LBPKE- 17900002360 3,New
0,4.0,UG3276 R,YAMAHA,2018,Sport,XTZ-125,E3N2E-067499,LBPKE- 17900002361 3,New
1,5.0,UG2485 A,YAMAHA,2017,Sport,XTZ-125,E3N2E-056252,LBPKE- 17900002106 8,Running
2,6.0,UG2484 A,YAMAHA,2017,Sport,XTZ-125,E3N2E-056271,LBPKE- 17900002106 2,Running
3,7.0,UG2381 A,YAMAHA,2015,Field M/C,AG-100,3HA-208739,JYA3HA00002 09069,Running
4,8.0,UG0515 Z,HONDA XR,2011,Sport,XR-125, , ,Gronded
5,9.0,UDX111,YAMAHA,2012,Sport,DT-125,3TT-0201743,DE02X- 0078994,Running
6,10.0,UDX169,YAMAHA,2012,Sport,DT-125,3TT-0200873,DE02X- 0078124,Grounded
7, , , , , , , , ,To Be Boarded Off
8,11.0,UDX135 Y,YAMAHA,2012,Sport,DT-125,3TT-0199570,DE02X- 0076821,Grounded
9, , , , , , , , ,To Be Boarded Off
10,12.0,UG0521 Z,HONDA,2011,Sport,XR-125,6616801,LTMJD19A5B5 2299562,Grounded
11, , , , , , , , ,To Be Boarded Off
12,13.0,UDX782 Z,YAHAMA,2012,Sport,DT-125,3TT-216689,DE02X- 093990,Running
13,14.0,UG3093 R,MITSUBI SHI L200,2014,D/Cabin,L 200, , ,Running
14,15.0,UG0513 Z,HONDA,XR-125 (2012),Sport,JC30E,6616785,LTMJDA19A8B 5229966,Running
15,16.0,UG0516 Z,HONDA,XR-125 (2012),Sport,JC30E,6616745,LTMJD19AXB5 229984,Running
16,17.0,UG 0017Z,LAND ROVER,2000,Bonet Truck, , , ,Grounded
17, , , , , , , , ,To Be Boarded Off
18, ,LG3253 -030,ISUZU,2016,D/Cabin, , , , 
19,21.0,UG2785,TOYOTA,D/CABIN,D/Cabin,GUN125R,2GD0443797,AHTFB8CD60,Brand New
