,Unnamed: 0,A,HILUX,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,3871536,Unnamed: 8
0, ,UEV498 K,YAMAHA, ,Sport, ,E3N2E-081584,28604 LBKEI790000,Brand New (Omara Ep.)
1,20, , , , , , , , 
2, ,UEV284 K,YAMAHA,2017,Sport, ,E3N2E-080207,28098 LBKEI790000,Brand New (Anywar G.)
3,21, , , , , , , , 
4, ,UEV510 K,YAMAHA,2017,Sport, ,E3N2E-081668,28703 LBKEI790000,Brand New (Lawach J.)
5,22, , , , , , , , 
6,23,UEV335 K,YAMAHA,2017,Sport, ,E3N2E-079768,27835 LBKEI790000,Brand New (Lanek Jp.)
7,24,UEV367 K,YAMAHA,2017,Sport, ,E3N2E-079761,27800 LBKEI790000,Brand New Komakech J.)
8,25,UG2658 A,YAMAHA,2017,Sport, ,E3N2E-078189,26801 LBKEI790000,Brand New (Opiyo A.)
9,26,UEV89O K,YAMAHA,2017,Sport, ,E3N2E-080023,27902 LBKEI790000,Brand New (Acaye A.)
10,27,UEV892 K,YAMAHA,2017,Sport, ,E3N2E-080089,27854 LBKEI790000,Brand New (Otema S.)
11, ,REG. NO.,MAKE,MODEL/YE AR,Type,EGINE MODEL,ENGINE NO.,CHASS NO.,Remarks
12,S/N, , , , , , , , 
13,1,LG0138 -09,TOYOTA,2008,D/Cabin,2KD-,2KD7491321,AHTFR22G40 60,Running
14,2,UG0393 E,IZUSU TFS,2003,D/Cabin,4AJ,654122,JAATFS544H W-7102203,To Be Boarded Off
15,3,UG1062 E,MISUBIS HI,1994,D/Cabin, ,4056-HN7447,VSM21-4625,To Be Boarded Off
16,6,UG1995 E,HONDA,2009,Sport,XL-125,L125E- 5603194,L125S- 5749040,To Be Boarded Off
17,7,UG3839 R,JAILING,2009,Sport,JL156FML,-09A345501,LAAAJKJG- 190001934,To Be Boarded Off
18,8,UG2840 R,JAILING,2009,Sport,JL156FML,-09A345501,LAAAJKJG- 190001935,To Be Boarded Off
19,9,LG0043 -030,ISUZU DEMAX,2016,D/Cabin,JR5G,4597423,RH4CDMM374 9-12A17,Running
20,10, , , , , , , , 
21, ,REG. NO.,MAKE,MODEL/YE AR,Type,EGINE MODEL,ENGINE NO.,CHASS NO.,Remarks
22,S/N, , , , , , , , 
23,1,LG0020 -030,TOYOTA,2015,D/Cabin,3L,C-21BA59,AHTFR22E706 100974,Running
24,2,LG0008 -030,FORD RANGER,2014,D/Cabin, , , ,Under Repair
