,3,LG0006 -030,YAMAHA,2014,Sport,DT-125,3TT-,Unnamed: 7,Running
0,4,UG3159 R,MITSUBI SHI,2015,D/Cabin, , , ,Running
1,5,LG0017 -030,YAMAHA,2014,Sport,DT-125,3TT-208280, ,Running
2,6,UDX082 Y,YAMAHA,2012,Sport,DT-125, , ,Running
3,7,LG0007 -030,YAMAHA,2014,Sport,DT-125, , ,Omoro District
4,8,LG0009 -030,YAMAHA,2014,Sport,DT-125, , ,Running
5,9,LG0018 -030,YAMAHA,2014,Sport,DT-125, , ,Stolen
6,10,LGOO1 9-030,YAMAHA,2014,Sport,DT-125, , ,Court Bailiff
7,11,UG1239 R,FORD RANGER,2009,D/Cabin,2KD,-7495631,AHTFR22G80 60,Poorly Running
8,12,LG0039 -030,YAMAHA,2016,Sport,YBR-125, , ,Running
9,13,LG0038 -030,YAMAHA,2016,Sport,YBR-125, , ,Running
10,14,LG0037 -030,YAMAHA,2016,Sport,YBR-125, , ,Running
11,15,LG0036 -030,YAMAHA,2016,Sport,YBR-125, , ,Running
12,16,LG151- 09,YAMAHA YBR,2009,Ybr-125,YBR-125,E3D7E-017675,LBPKE- 390027769,To Be Boarded Off
13,17,UDF 754A,HONDA XL-125,2008,Sport,XL125,5591853,5737722,Running
14,18,LG0049 -030,SIMBER - 156,2019,Sport,156 FMI,2K090848,LB412Y53K00 90848,New ( Paicho Sub. Cty)
15,19,LG0136 -09,TOYOTA,2008,D/Cabin,2KD-, , ,Planning Unit
16, , , , , , , , , 
17, ,REG. NO.,MAKE,MODEL/YE AR,Type,EGINE MODEL,ENGINE NO.,CHASS NO.,Remarks
18,S/N, , , , , , , , 
