,12,Suzuki KB Double Cabin Pick-up,Unnamed: 2,"700,000"
0,13.0,Toyota Hilux,LG 0069-09,"860,000"
1,14.0,Toyota Hilux, ,"1,000,000"
2,15.0,Suzuki Station Wagon,LG 0017-09,"1,050,000"
3,16.0,Toyota Hilux Double Cabin Pick- up,LG 0068-09,"3,110,000"
4,17.0,Toyota Hilux Double Cabin Pick up,LG 065-09,"9,950,000"
5,18.0,Tipper Truck Zeifang,LG 0063-09,"5,627,740"
6,19.0,Tipper Truck Zeifang,LG 0064-09,"5,234,000"
7,20.0,Bedford Truck, ,"3,000,000"
8,21.0,Bedford flat bed,UA 0180,"1,220,000"
9,22.0,Assorted scraps, ,"1,500,000"
10, ,Sub-Total, ,"85,527,340"
11, , , ,"400,000"
12, ,Grand Total, ,"85,927,340"
