,Acronym,Meaning
0,BOU,Bank of Uganda
1,CoC,Certificates of Compliance
2,CWC,Community Watershed Committee
3,GoU,Government of Uganda
4,IESBA,International Ethics Standards Board for Accountants
5,IFMS,Integrated Financial Management System
6,INTOSAI,International Organisation of Supreme Audit Institutions
7,ISSAIs,International Standards of Supreme Audit Institutions
8,LGFAM,Local Government Financial and Accounting Manual
9,MoFPED,"Ministry of Finance, Planning and Economic Development"
10,NDP,National Development Plan
11,NPA,National Planning Authority
12,NUSAF,Northern Uganda Social Action Fund
13,PBS,Performance Budgeting System
14,PFMA,Public Finance Management Act
15,TSSA,Treasury Sub Single Account
16,TSA,Treasury Single Account
17,UgIFT,Uganda Intergovernmental Fiscal Transfers Program for Results
18,UGX,Uganda Shillings
19,URF,Uganda Road Fund
20,UPE,Universal Primary Education
21,USE,Universal Secondary Education
22,MoLG,Ministry of Local Government
