,Acronym,Meaning
0,AfDB,African Development Bank
1,ADF,African Development Fund
2,GoU,Government of Uganda
3,IESBA,International Ethics Standards Board for Accountants
4,ISAIs,International Standards on Auditing
5,IPC,Interim Payment Certificate
6,MoFPED,"Ministry of Finance, Planning and Economic Development"
7,NAA,National Audit Act
8,OAG,Office of the Auditor General
9,PAPs,Project Affected Persons
10,ROW,Right of Way
11,UGX,Uganda Shilling
12,UNRA,Uganda National Roads Authority
13,USD,United States Dollars
