,No,Particulars,Kampala - Jinja Expressway,Hoima - Wanseko
0,1.0,Road Length,105.1 km,111 km
1, ,Funding Agency,GoU and a Concessionaire through a PPP arrangement,GoU and Exim Bank of China
2,2.0,Contract Amount (civil works),n/a*,"USD 179,538,545.59"
3,3.0,Commencement of works (date),n/a*,16 th April 2018
4,4.0,Original completion date,n/a*,16 th April 2021
5,5.0,Revised completion date,n/a*,10 th January 2022
6,6.0,Supervising contract Amount,n/a*,n/a**
7,7.0,Total Number of PAPs assessed to date,"5,111","3,938"
8,8.0,Number of PAPs compensated to date,"3,474","3,487"
9,9.0,Total Approved Compensation,"UGX 432,220,889,273","UGX 39,363,141,405"
