,93,Mulago National Referral,8,51,7,46,1,5,-,-.1
0,94.0,DGAL,10,13,3,2,7,11,-,-
1,95.0,"National Animal Genetic Resources Centre and Data Bank,",2,8,1,2,1,6,-,-
2,96.0,National Agricultural Advisory Services (NAADS),1,1,-,-,1,1,-,-
3,97.0,Ministry of Foreign Affairs,14,53,2,34,7,18,5,0
4,98.0,Judical Service Commission (JSC),10,11,3,3,7,8,-,-
5,99.0,Kiira Motors Corporation,3,58,-,-,3,58,-,-
6,100.0,Markets And Agricultural Trade Improvement Programme II,3,37,-,-,3,37,-,-
7,101.0,Project For Restoration Of Livelihoods In The Northern Region,8,24,2,3,6,22,-,-
8,102.0,"Ministry of Lands, Housing & Urban Development",9,24,-,-,9,24,-,-
9, , ,"1,325","10,729",458,"2,995",758,"7,379",109,354
