,34,Kayunga DLG,Approved,91,Bulambuli DLG,Not approved,147,Mukono MC,Not approved.1
0,35,Kazo DLG,Approved,92.0,Bundibugyo DLG,Not approved,148.0,Nakapiripit DLG,Not approved
1,36,Kibaale DLG,Approved,93.0,Bunyangabu DLG,Not approved,149.0,Nakaseke DLG,Not approved
2,37,Kira MC,Approved,94.0,Bushenyi DLG,Not approved,150.0,Namayingo DLG,Not approved
3,38,Kiryandongo DLG,Approved,95.0,Butambala DLG,Not approved,151.0,Namisindwa DLG,Not approved
4,39,Kisoro MC,Approved,96.0,Butebo DLG,Not approved,152.0,Namutumba DLG,Not approved
5,40,Koboko DLG,Approved,97.0,Buvuma DLG,Not approved,153.0,Nebbi MC,Not approved
6,41,Kumi MC,Approved,98.0,Buyende DLG,Not approved,154.0,Njeru MC,Not approved
7,42,Kyotera DLG,Approved,99.0,Fort Portal City,Not approved,155.0,Ntoroko DLG,Not approved
8,43,Lira City,Approved,100.0,Gomba DLG,Not approved,156.0,Ntungamo DLG,Not approved
9,44,Lugazi MC,Approved,101.0,Hoima City,Not approved,157.0,Nwoya DLG,Not approved
10,45,Luwero DLG,Approved,102.0,Iganga MC,Not approved,158.0,Oyam DLG,Not approved
11,46,Lwengo DLG,Approved,103.0,Kabale DLG,Not approved,159.0,Pader DLG,Not approved
12,47,Manafwa DLG,Approved,104.0,Kabale MC,Not approved,160.0,Pallisa DLG,Not approved
13,48,Maracha DLG,Approved,105.0,Kabarole DLG,Not approved,161.0,Rubirizi DLG,Not approved
14,49,Masaka DLG,Approved,106.0,Kaberamaido DLG,Not approved,162.0,Rukungiri MC,Not approved
15,50,Masaka City,Approved,107.0,Kalaki DLG,Not approved,163.0,Sheema DLG,Not approved
16,51,Mayuge DLG,Approved,108.0,Kalangala DLG,Not approved,164.0,Sironko DLG,Not approved
17,52,Mbarara DLG,Approved,109.0,Kalungu DLG,Not approved,165.0,Soroti City,Not approved
18,53,Mityana DLG,Approved,110.0,Kamuli MC,Not approved,166.0,Soroti DLG,Not approved
19,54,Moyo DLG,Approved,111.0,Kamwenge DLG,Not approved,167.0,Tororo MC,Not approved
20,55,Mpigi DLG,Approved,112.0,Kanungu DLG,Not approved,168.0,Wakiso DLG,Not approved
21,56,Mubende DLG,Approved,113.0,Kapchorwa DLG,Not approved,169.0,Kitgum MC,Not approved
22,57,Mubende MC,Approved, , , , , , 
