,No.,Entity Name,Excess release of wage
0,1.0,Bunyangabu DLG,"2,052,937,854"
1,2.0,Gulu DLG,"4,001,598,220"
2,3.0,Hoima City,"2,101,550,903"
3,4.0,Jinja DLG,"2,971,814,746"
4,5.0,Kabarole DLG,"2,397,749,672"
5,6.0,Kagadi DLG,"4,587,724,191"
6,7.0,Kakumiro DLG,"4,022,406,792"
7,8.0,Kalaki DLG,"2,011,872,321"
8,9.0,Kamuli DLG,"2,379,521,144"
9,10.0,Kikuube DLG,"2,089,356,961"
10,11.0,Kiryandongo DLG,"2,595,952,499"
11,12.0,Lira City,"2,012,273,042"
12,13.0,Maracha DLG,"2,540,902,310"
13,14.0,Mbarara City,"2,497,489,578"
14,15.0,Ntoroko DLG,"2,448,236,990"
15,16.0,Pakwach DLG,"2,457,707,239"
16,17.0,Rwampara DLG,"2,542,813,461"
17,18.0,Terego DLG,"6,426,650,108"
18,19.0,Yumbe DLG,"2,447,372,714"
19, ,Total,"54,585,930,745"
