,No.,Entity Name,Transfer to LLGs
0,1.0,Amuria DLG,"20,000,000"
1,2.0,Bukomansimbi DLG,"41,557,219"
2,3.0,Busia DLG,"20,078,498"
3,4.0,Isingiro DLG,"524,019,290"
4,5.0,Jinja City,"124,937,495"
5,6.0,Kagadi DLG,"585,148,825"
6,7.0,Kalangala DLG,"176,510,000"
7,8.0,Kamuli DLG,"64,362,709"
8,9.0,Kamwenge DLG,"209,067,094"
9,10.0,Kanungu DLG,"38,504,645"
10,11.0,Kasese MC,"64,733,154"
11,12.0,Kiboga DLG,"52,265,069"
12,13.0,Kiruhura DLG,"1,140,291,802"
13,14.0,Kole DLG,"53,722,664"
14,15.0,Kumi MC,"185,139,760"
15,16.0,Kyegegwa DLG,"169,906,666"
16,17.0,Lira DLG,"300,110,546"
17,18.0,Lyantonde DLG,"23,137,182"
18,19.0,Mubende DLG,"1,138,791,914"
19,20.0,Nakapiripit DLG,"148,785,780"
20,21.0,Pader DLG,"172,984,126"
21,22.0,Pakwach DLG,"29,000,000"
22,23.0,Tororo DLG,"1,210,847,439"
23, ,Total,"6,493,901,877"
