,No,Entity,Category
0,1,Ministry of Defence,MDA
1,Ministry of Agriculture,MDA, 
2,3,NAGRIC,MDA
3,4,NARO,MDA
4,5,Uganda Police,MDA
5,6,Uganda Prisons,MDA
6,7,KCCA,MDA
7,Ministry of Justice and Constitutional Affairs,MDA, 
8,9,Judiciary,MDA
9,10,DPP,MDA
10,11,State House,MDA
11,12,Directorate of Citizenship & Immigration Control,MDA
12,13,NFA,MDA
13,14,Ministry of Energy,MDA
14,Ministry of Lands Housing and Urban Development,MDA, 
15,16,Uganda Land Commission,MDA
16,17,Makerere University,MDA
17,18,Kyambogo University,MDA
18,19,Ministry of Education and Sports,MDA
19,20,Ministry of Water,MDA
20,21,Busitema University,MDA
21,22,Gulu University,MDA
22,Ministry of Gender Labour and Social Development,MDA, 
23,24,Soroti University,MDA
24,25,Uganda Electricity Transmission Company Ltd,MDA
25,26,Mandela National Stadium Ltd,MDA
26,27,Uganda Broadcasting Corporation,MDA
27,28,Uganda Free Zone Authority,MDA
28,"Ministry of Trade,Investments & Cooperatives",MDA, 
29,30,Uganda Property Holdings Limited,MDA
30,31,Posta Uganda Limited,MDA
31,"Ministry of Tourism, Wildlife and Antiquities",MDA, 
32,33,Uganda Investment Authority,MDA
33,34,Uganda Revenue Authority,MDA
34,35,Uganda Wild Life Authority,MDA
35,36,Wakiso DLG,LG
36,37,Jinja DLG,LG
37,38,Mbale DLG,LG
38,39,Gulu DLG,LG
39,40,Oyam DLG,LG
40,41,Mbarara DLG,LG
41,42,Fort portal City,LG
42,43,Buduuda DLG,LG
43,44,Butaleja DLG,LG
