,No,Entity,Total Land Pieces Size (hectares),Unnamed: 3,Un-Titled Land Pieces Size (hectares) Amount Ugx Time taken without Titles,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,Ministry of Gender Labour and Social Development,0 0, ,27 139.2042 0 0, , , , 
1,21,Uganda Free Zone Authority,5 70.0510847, ,5 70.0510847 Not defined 5years, , , 
2,"Ministry of Trade,Investments & Cooperatives",4 3.11, ,4 3.11 Not defined 16years, , , , 
3,23,Posta Uganda Limited,41 8.06798, ,3 Not defined Not defined 14years, , , 
4,"Ministry of Tourism, Wildlife and Antiquities","15 2,634.30", ,2 3.618 Not defined 51years, , , , 
5,25,Wakiso DLG,45 47, ,32 20 ND 0, , , 
6,26,Jinja DLG,28 149.8, ,"3 10.747 3,750,000,000 0", , , 
7,27,Mbale DLG,26 281.1, ,6 Nonspecific Not defined 0, , , 
8,28,Gulu DLG,92 0, ,76 Nonspecific 0 0, , , 
9,29,Oyam DLG,20 290.35, ,10 58.45 0 0, , , 
10,30,Mbarara DLG,78 235.65, ,68 113.94 Not defined 49years, , , 
11,31,Fort portal City,53 0, ,32 0 0 0, , , 
12,32,Buduuda DLG,50 101.29, ,24 19.25 Not defined 0, , , 
13,33,Butaleja DLG,0 0, ,14 112 10years, , , 
14,34,Sironko DLG,37 759.59, ,21 317.09 Not defined 0, , , 
15,35,Soroti DLG,138 0, ,91 Nonspecific Not defined 0, , , 
16,36,Kumi DLG,64 520, ,51 Nonspecific Not defined 0, , , 
17,37,Ministry of Health,5 85, ,2 7.5 0 0, , , 
18,38,Uganda Railways,"281 8,407", ,6 802.9 0 0, , , 
19,39,Civil Aviation Authority,"36 1,662.94", ,16 492.96 0 0, , , 
20,40,Mulago Hospital,27 75, ,22 0 0 0, , , 
21,41,Uganda Virus Research Institute,4 0, ,4 0 0 0, , , 
22,42,Uganda National Roads Authority,"2,080 0", ,"1,978 0 0 0", , , 
23, ,Total,6285 158313.6625, ,"4,398 80038.87948 3,750,000,000 96.6", , , 
