,No,Entity,Directorate,Total Land,Unnamed: 4,Land not in the names of ULC,Unnamed: 6
0, , ,Category,Pieces,Size (hectares),Pieces,Size (hectares)
1,1.0,Ministry of Agriculture,MDA,62,Not defined,4,41.844
2,2.0,NARO,MDA,90,0,15,"4,609.78"
3,3.0,Ministry of Justice and Constitutional Affairs,MDA,10,4.5662,5,Not defined
4,4.0,Judiciary,MDA,111,42.783,11,6.705
5,5.0,Ministry of Lands Housing and Urban Development,MDA,31,21,31,21
6,6.0,Makerere University,MDA,32,"1,645.04",29,"1,335.84"
7,7.0,Kyambogo University,MDA,7,211,6,73.7
8,8.0,Ministry of Education and Sports,MDA,3,9.749,2,5.705
9,9.0,Busitema University,MDA,9,"1,149.66",8,874.65
10,10.0,Gulu University,MDA,13,"2,532",8,"2,186"
11,11.0,Ministry of Gender Labour and Social Development,MDA,37,217.4869,10,139.2042
12,12.0,Soroti University,MDA,2,228.96,2,228.96
13,13.0,Uganda Property Holdings Limited,MDA,32,47.89,32,47.89
14,14.0,"Ministry of Tourism, Wildlife and Antiquities",MDA,15,"2,634.30",1,4.847
15,15.0,Uganda Revenue Authority,MDA,3,1.56,3,2
16, , , ,6322,158531.149,167,"67,769"
