,No,Entity,Directorate,Total Land,Unnamed: 4,Land not recorded in GFMIS,Unnamed: 6,Causes
0, , , ,Pieces,Size (hectares),No of Pieces,Size (hectares), 
1,1.0,Wakiso DLG,LA,45,47,27,23,Absence of Land Values to update GFMIS
2,2.0,Mbale DLG,LA,26,281.1,23,281.1,Non Functionality of the GFMIS-Asset module
3,3.0,Gulu DLG,LA,92,Not defined,36,112.2,Not disclosed
4,4.0,Oyam DLG,LA,20,290.35,1,3.85,Non Functionality of the GFMIS-Asset module
5,5.0,Mbarara DLG,LA,78,235.65,0,0,Not disclosed
6,6.0,Fort portal City,LA,53,Not defined,0,0,Not disclosed
7,7.0,Buduuda DLG,LA,50,101.29,50,101.129,Not disclosed
8,8.0,Butaleja DLG,LA,0,0,0,0,Non Functionality of the GFMIS-Asset module
9,9.0,Sironko DLG,LA,37,759.59,37,759.59,Not disclosed
10,10.0,Soroti DLG,LA,138,Not defined,0,0,Not disclosed
11,11.0,Kumi DLG,LA,64,520,64,520,Non Functionality of the GFMIS-Asset module
12, ,Total, ,603,2234.98,238,1800.869, 
