,No,Entity,Total Land,Unnamed: 3,Unutilized Land,Unnamed: 5
0, , ,Pieces,Size (hectares),No of Pieces,Size (hectares)
1,1.0,Ministry of Agriculture,62,Not defined,108,322.546
2,2.0,NAGRIC,16,"55,169",3,"5,905.71"
3,3.0,NARO,90,0,1,1.5
4,4.0,KCCA,242,184.818,3,1.71
5,5.0,Ministry of Justice and Constitutional Affairs,10,4.5662,2,0.651
6,6.0,Judiciary,111,42.783,5,6.963
7,7.0,DPP,74,0,5,0
8,8.0,Kyambogo University,7,211,0,93.4
9,9.0,Ministry of Education and Sports,3,9.749,1,4.044
10,10.0,Busitema University,9,"1,149.66",0,517.09
11,11.0,Gulu University,13,"2,532",6,"2,009.80"
12,12.0,Ministry of Gender Labour and Social Development,0,0,1,12
13,13.0,Soroti University,2,228.96,1,44.60
14,14.0,Uganda Electricity Transmission Company Ltd,0,0,33,0
15,15.0,Mandela National Stadium Ltd,3,50.199,0,25.199
