,16,Uganda Broadcasting Corporation,0,7828.404,18,625.281
0,17.0,Uganda Free Zone Authority,5,70.0510847,4,68.0276565
1,18.0,Uganda Property Holdings Limited,32,47.89,1,1.21
2,19.0,Posta Uganda Limited,41,8.06798,1,0.464
3,20.0,Uganda Investment Authority,32,"11,931.34",37,50.545
4,21.0,Uganda Revenue Authority,3,1.56,3,1.563
5,22.0,Wakiso DLG,45,47,1,0.202
6,23.0,Gulu DLG,92,Not defined,3,11.767
7,24.0,Oyam DLG,20,290.35,1,3.853
8,25.0,Mbarara DLG,78,235.65,6,3.264
9,26.0,Fort portal City,53,Not defined,6,Not defined
10,27.0,Butaleja DLG,0,0,2,1.7
11,28.0,Civil Aviation Authority,36,"1,662.94",5,352.28
12,29.0,Uganda Virus Research Institute,4,0,1,1.416
13, ,TOTAL,1083,81706,258,10066.78366
