,N o,Entity,No of Pieces Amount (Ugx) Encumbered Land Size (hectares),Unnamed: 3,Unnamed: 4
0,1,Ministry of Defence,"20 12,534.38 -", , 
1,2,Ministry of Agriculture,"61.856 1,865,000,000 27", , 
2,3,NAGRIC,"5 43,495 -", , 
3,4,NARO,17 0 -, , 
4,5,Uganda Police,3 62.097 -, , 
5,6,Uganda Prisons,"6 2,501 -", , 
6,7,KCCA,"24 36.79 34,664,788,600", , 
7,8,Ministry of Justice and Constitutional Affairs,"1 0.2746 500,000,000", , 
8,9,DPP,2 0.281 -, , 
9,10,NFA,86 0 -, , 
10,11,Uganda Land Commission,"26 193.347 5,837,000,000", , 
11,12,Makerere University,4 103.05 -, , 
12,13,Kyambogo University,6 0 -, , 
13,14,Gulu University,961 4 -, , 
14,15,Ministry of Gender Labour and Social Development,3 2.33 -, , 
15,16,Soroti University,"1 44.66 81,480,000,000", , 
16,17,Uganda Electricity Transmission Company Ltd,118 0 -, , 
17,18,Uganda Broadcasting Corporation,15 599.634 -, , 
18,19,Uganda Free Zone Authority,"2 44.1107 7,608,616,239", , 
19,20,"Ministry of Trade,Investments & Cooperatives","1 1.462 216,780,000", , 
20,21,Posta Uganda Limited,"1 0.612 465,000,000", , 
21,22,Wakiso DLG,3 1.641 -, , 
22,23,Mbale DLG,9 42.2 -, , 
23,24,Gulu DLG,2 5.946 -, , 
24,25,Mbarara DLG,3 32.59 -, , 
25,26,Buduuda DLG,3 28.88 -, , 
26,27,Sironko DLG,1 10 -, , 
27,28,Soroti DLG,16 Not defined -, , 
28,29,Uganda Railways,"13 434.5 1,732,000,000", , 
