,Monitor,30/12/2016,-,12,6
0,Monitor,30/12/2016,"2,975,877",2,6.0
1,Laptop,1/7/2010,"1,800,000",6,12.0
2,Laptop,30/12/2016,"3,586,374",5,6.0
3,Printer,18/9/2014,"4,972,554",1,8.0
4,Printer,1/7/2010,-,3,12.0
5,Printer,1/7/2010,"300,000",1,12.0
6,Printer,1/7/2010,"200,000",2,12.0
7,Printer,1/7/2010,"1,300,000",1,12.0
8,Printer,1/7/2010,"540,000",1,12.0
9,Printer,12/5/2014,"2,700,000",1,8.0
10,Printer,18/9/2014,"4,972,554",1,8.0
11,Printer,1/6/2017,"2,184,006",1,5.0
12,Printer,25/8/2015,"21,170,000",1,7.0
13,Server,20/5/2017,"51,684,000",1,5.0
14,UPS,1/7/2010,"1,140,000",6,12.0
15,Back up battery,5/5/2015,"1,380,600",20,7.0
16,Total, ,"112,038,842",192, 
