,Acronym,Meaning
0,URF,Uganda Road Fund
1,DUCAR,"District, Urban and Community Access Roads"
2,AIA,Appropriation in Aid
3,BEC,Budget Execution Circular
4,GoU,Government of Uganda
5,HR,Human Resource
6,ICT,Information & Communication Technology
7,INTOSAI,International Organization of Supreme Audit Institutions
8,ISSAIs,International Standards of Supreme Audit Institutions
9,IT,Information Technology
10,MDAs,"Ministries, Departments and Agencies"
11,Mn,Million
12,MoFPED,"Ministry of Finance, Planning and Economic Development"
13,MoPS,Ministry of Public Service
14,MoWT,Ministry of Works and Transport
15,NAA,National Audit Act
16,NITA-U,National Information Technology Authority – Uganda
17,NTR,Non-Tax Revenue
18,OAG,Office of the Auditor General
19,PBS,Program Budgeting System
20,PDU,Procurement & Disposal Unit
21,PFM,Public Finance Management
22,PFMA,Public Finance Management Act
23,PFMR,Public Finance Management Regulations
24,PPDA,Public Procurement & Disposal of Public Assets
25,PS/ST,Permanent Secretary / Secretary to the Treasury
26,TI,Treasury Instructions
27,UCF,Uganda Consolidated Fund
28,UGX,Uganda Shilling
