,Unnamed: 0,"the entity was supposed to receive UGX.509.4Bn out of which UGX.387.9Bn was warranted, in a shortfall of UGX.121.5Bn. The shortfall represents 24% of the revised approved budget. resulting funds that were not warranted were meant for the implementation of the following activities which were never implemented. Out-put Activity No 045251: National Roads Maintenance 045252: DistrIT, Urban and Community Access Roads Maintenance (DUCAR) Road Fund Government and 045272: Building Administrative Infrastructure 045201: Secretariat services 045278: of Office and Residential Furniture and Fittings 045276: Purchase of Office and IT Equipment, including software Total Purchase Transfers to UNRA for maintenance of national roads. Transfers for maintenance of KCCA roads, DistrITs roads, Town councils roads, Community Access roads, municipal council roads and 10 new city roads Completion building. of URF Operational activities of URF Procurement of Assorted furniture and fittings Procurement assorted IT equipment of Budget Amount UGX “Bn” 69.9 47.8 1.5 1.3 0.6 0.4 121.5 Accounting Officer explained that during the year under review, URF received UGX.387.9Bn against a budget of UGX.509.4Bn. This was caused by a shortfall in cash limit warrants issued by MoFPED. The Fund liaised this with MoFPED regarding the outstanding monies but no response to that effect was received. 1 2 3 4 5 6 The The",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,to liaise with MoFPED to ensure that GOU funds are released as planned.
0,No, , , , , , , 
1,1, , , , , , , 
2,2, , , , , , , 
3,3, , , , , , , 
4,4, , , , , , , 
5,5, , , , , , , 
6,6, , , , , , , 
7, , , , , , , , 
8,"Accounting Officer explained that during the year under review, URF received UGX.387.9Bn against a budget of UGX.509.4Bn. This was caused by a shortfall in cash limit warrants issued by MoFPED. The Fund liaised this with MoFPED regarding the outstanding monies but no response to that effect was received. The", , , , , , , 
9,1.2,"Implementation of outputs and activities:- I assessed the implementation of a sample of four (4) outputs that had been fully quantified with a total of forty seven (47) activities worth UGX.386.2Bn and noted that;  One (1) output with one (1) activity and expenditure worth UGX.10.8Bn was fully implemented.  Three (3) outputs with forty six (46) activities worth UGX.375.4Bn were partially implemented. Out of the forty six (46) activities, the entity fully implemented nineteen (19) activities; twenty two (22) activities were partially implemented, while five (5) activities remained unimplemented.", , , , , ,advised the Accounting Officer to always ensure that activities and outputs are implemented as planned. I
