,Acronym,Meaning
0,BEC,Budget Execution Circular
1,Bn,Billion
2,CGV,Chief Government Valuer
3,EACAA,East African Civil Aviation Academy
4,GCALA,Guidelines for Compensation Assessment under Land Acquisition
5,GoU,Government of Uganda
6,HR,Human Resource
7,ICT,Information & Communication Technology
8,INTOSAI,International Organization of Supreme Audit Institutions
9,ISSAIs,International Standards of Supreme Audit Institutions
10,KCCA,Kampala Capital City Authority
11,MDAs,"Ministries, Departments and Agencies"
12,MoFPED,"Ministry of Finance, Planning and Economic Development"
13,MoWT,Ministry of Works and Transport
14,NAA,National Audit Act
15,NTR,Non-Tax Revenue
16,OAG,Office of the Auditor General
17,PAPs,Project Affected persons
18,PBS,Program Budgeting System
19,PDU,Procurement & Disposal Unit
20,PFMA,Public Finance Management Act
21,PPDA,Public Procurement & Disposal of Public Assets
22,PS/ST,Permanent Secretary / Secretary to the Treasury
23,ROW,Right of way
24,SGR,Standard Gauge Railway
25,TI,Treasury Instructions
26,UCF,Uganda Consolidated Fund
27,UGX,Uganda Shilling
