,Acronym,Meaning
0,IsDB,Islamic Development Bank
1,GoU,Government of Uganda
2,IESBA,International Ethics Standards Board for Accountants
3,ISAIs,International Standards on Auditing
4,IPC,Interim Payment Certificate
5,MoFPED,"Ministry of Finance, Planning and Economic Development"
6,MZO,Ministry of Lands Zonal offices
7,NAA,National Audit Act
8,OAG,Office of the Auditor General
9,PAPs,Project Affected Persons
10,UGX,Uganda Shilling
11,UNRA,Uganda National Roads Authority
12,USD,United States Dollars
