,Fully Implemented Out-puts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Partially Implemented Out-puts,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Out-puts not Implemented at all,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,S/ no,Output,Total output expen diture (UGX 'Bn'),Tot al No acti viti es,Num ber of fully imple ment ed activi ties,S/ no,Out-put,Total Out- put expen diture (UGX 'Bn'),Tota l No acti vitie s,Num ber of fully impl eme nted activ ities,No of parti ally impl eme nted activ ities,No of activiti es that were not implem ented,S/ no,Out-Put,Total Out- put expend iture (UGX 'Bn'),Total No activiti es,Activiti es not Implem ented
1,1,Maintenance Of Electrical Installations,0.31,2,2,1,Maintenance of Wagons,0.41,3,0,2,1,1,Maintenance of Locomotives And Wagons,0,1,1
2,2,Support Trains Operations,0.06,1,1,2,Maintenance of Locomotives,1.19,3,0,2,1,2,Maintenance of Breakdown & Mechanical Handling Cranes,3.02,1,1
3, ,Totals,0.37,3,3,3,"Maintenance of Machinery, Plants & Equipment",0.02,1,0,1,0,3,Ports activities,0,1,1
4, , , , , ,4,Maintenance of Marine Vessels And Port Facilities,0.17,4,3,0,1,4,Yards and Terminal Activities,0,1,1
5, , , , , ,5,Maintenance of Locomotives,36.50,3,1,0,2,5,Commuter Operations,0,1,1
6, , , , , ,6,Track Infrastructure Maintenance,1.02,12,1,3,8,6,Management And Control of Cargo Tracking System,0,1,1
7, , , , , ,7,Administrative,0.15,1,0,1,0,7,Work Force Management,0,2,2
8, , , , , ,8,Extension And Provision of Network Services,0.05,2,1,0,1,8,Procurement of Supporting Tools of Trade,0,2,2
9, , , , , ,9,Repair Maintenance of IT Hardware,0.03,3,0,2,1,9,Upcountry Station Audits,0,1,1
