,S/N,IT Equipment Name,Engravement No.,Date of purchase,Cost (UGX)
0,1,HP 800 G4 TWR- Desk Top,URC/IT/EIT0/2038,26/07/2019,"4,750,000"
1,2,HP 800 G4 TWR- Desk Top,URC/ITE/IT0/2039,26/07/2019,"4,750,000"
2,3,HP 800 G4 TWR- Desk Top,URC/ITE/IT0/2040,26/07/2019,"4,750,000"
3,4,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2041,26/07/2019,"4,750,000"
4,5,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2042,26/07/2019,"4,750,000"
5,6,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2043,26/07/2019,"4,750,000"
6,7,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2044,26/07/2019,"4,750,000"
7,8,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2045,26/07/2019,"4,750,000"
8,9,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2046,26/07/2019,"4,750,000"
9,10,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2047,26/07/2019,"4,750,000"
10,11,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2048,26/07/2019,"4,750,000"
11,12,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2049,26/07/2019,"4,750,000"
12,13,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2050,26/07/2019,"4,750,000"
13,14,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2051,26/07/2019,"4,750,000"
14,15,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2052,26/07/2019,"4,750,000"
15,16,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2053,26/07/2019,"4,750,000"
16,17,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2054,26/07/2019,"4,750,000"
17,18,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2055,26/07/2019,"4,750,000"
18,19,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2056,26/07/2019,"4,750,000"
19,20,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2057,26/07/2019,"4,750,000"
20,21,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2058,26/07/2019,"4,750,000"
21,22,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2059,26/07/2019,"4,750,000"
22,23,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2060,26/07/2019,"4,750,000"
23,24,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2061,26/07/2019,"4,750,000"
24,25,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2062,26/07/2019,"4,750,000"
25,26,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2063,26/07/2019,"4,750,000"
26,27,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2064,26/07/2019,"4,750,000"
27,28,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2065,26/07/2019,"4,750,000"
28,29,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2066,26/07/2019,"4,750,000"
29,30,HP 800 G4 TWR- Desk Top,URC/ITE/ITO/2067,26/07/2019,"4,750,000"
