,31,HP Probook - Laptop,URC/ITE/ITO/4004,26/07/2019,"4,780,000"
0,32,HP Probook - Laptop,URC/ITE/ITO/4005,26/07/2019,"4,780,000"
1,33,HP Probook - Laptop,URC/ITE/ITO/4006,26/07/2019,"4,780,000"
2,34,HP Probook - Laptop,URC/ITE/ITO/4007,26/07/2019,"4,780,000"
3,35,HP Probook - Laptop,URC/ITE/ITO/4008,26/07/2019,"4,780,000"
4,36,HP Probook - Laptop,URC/ITE/ITO/4009,26/07/2019,"4,780,000"
5,37,HP Probook - Laptop,URC/ITE/ITO/4010,26/07/2019,"4,780,000"
6,38,HP Probook - Laptop,URC/ITE/ITO/4011,26/07/2019,"4,780,000"
7,39,HP Probook - Laptop,URC/ITE/ITO/4012,26/07/2019,"4,780,000"
8,40,HP Probook - Laptop,URC/ITE/ITO/4013,26/07/2019,"4,780,000"
9,41,HP Probook - Laptop,URC/ITE/ITO/4014,26/07/2019,"4,780,000"
10,42,HP Probook - Laptop,URC/ITE/ITO/4015,26/07/2019,"4,780,000"
11,43,IPAD PRO 11 INCH,URC/ITE/ITO/4018,26/07/2019,"5,793,750"
12,44,IPAD PRO 11 INCH,URC/ITE/ITO/4019,26/07/2019,"5,793,750"
13,45,IPAD PRO 11 INCH,URC/ITE/ITO/4020,26/07/2019,"5,793,750"
14,46,IPAD PRO 11 INCH,URC/ITE/ITO/4021,26/07/2019,"5,793,750"
15,47,IPAD PRO 11 INCH,URC/ITE/ITO/4022,26/07/2019,"5,793,750"
16,48,IPAD PRO 11 INCH,URC/ITE/ITO/4023,26/07/2019,"5,793,750"
17,49,IPAD PRO 11 INCH,URC/ITE/ITO/4024,26/07/2019,"5,793,750"
18,50,IPAD PRO 11 INCH,URC/ITE/ITO/4025,26/07/2019,"5,793,750"
19,51,IPAD PRO 11 INCH,URC/ITE/ITO/4026,26/07/2019,"5,793,750"
20,52,IPAD PRO 11 INCH,URC/ITE/ITO/4027,26/07/2019,"5,793,750"
21,53,HP Laptop,URC/ITE/ITO/4031,15/10/2021,"3,932,203"
22,54,HP Probook 450G8 17,URC/ITE/ITO/4030,15/10/2021,"4,702,880"
23,55,Dell Desktop- H849WC3,URC/ITE/ITO/2068,15/10/2021,"5,117,840"
24,56,Dell Desktop- G349WC3,URC/ITE/ITO/2069,15/10/2021,"5,117,840"
25,57,Lenovo Intel Core Laptop,URC/ITE/ITO/4032,25/10/2021,"4,991,525"
26,58,Projector X 51,ITEIT14003,16/3/2022,"2,700,000"
27,59,LAPTOP,URC/ITE/ITO/4033,2/3/2022,"4,067,796"
28,60,DELL POWEREDGE R840 SERVER,URC/ITE/ITO/8004,2018,"35,253,750"
29,61,DELL POWER EDGE R840 SERVER,URC/ITE/ITO/8005,2018,"35,253,750"
30,62,DELL POWER EDGE R840 SERVER,URC/ITE/ITO/8006,2018,"35,253,750"
31,63,DELL POWER EDGE R840 SERVER,URC/ITE/ITO/8007,2018,"35,253,750"
32,64,DELL POWER 65EDGE R840 SERVER,URC/ITE/ITO/8008,2018,"35,253,750"
