,ACRONYM,MEANING
0,EDF,European Development Fund
1,GOU,Government Of Uganda
2,ICT,Information Communication Technology
3,ICT,Information and Communication Technology
4,IESBA,International Ethics Standards Board for Accountants
5,INTOSAI,International Organization of Supreme Audit Institutions
6,ISSAIs,International Standards of Supreme Audit Institutions
7,IT,Information Technology
8,MDAs,"Ministries, Departments and Agencies"
9,Mn,Million
10,Bn,Billion
11,MoFPED,"Corporation of Finance, Planning and Economic Development"
12,MOU,Memorandum of Understanding
13,MoWT,Ministry of Works and Transport
14,NSSF,National Social Security Fund
15,PFMA,Public Financial Management Act
16,PPDA,Public Procurement and Disposal of Assets
17,TI,Treasury Instructions
18,UGX,Uganda Shillings
19,UNRA,Uganda National Roads Authority
20,URC,Uganda Railways Corporation
21,USD,United States Dollars
22,VAT,Value Added Tax
