,1 2 3 activities The,Unnamed: 1,Fully achieved 6,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,50,Unnamed: 8,Unnamed: 9
0, , ,Partially achieved 3, , , , ,25.0, , 
1, , ,Not achieved 3, , , , ,25.0, , 
2, , ,Total 12, , , , ,100.0, , 
3, , ,Accounting Officer explained that the Implementation of was based on funds disbursed to that activity., , , , , , , 
4,"advised the Accounting Officer should follow up on the implementation of unfunded activities while budgeting for funds the subsequent year. for I 1.2 Revenue Performance of GoU receipts The entity budgeted to receive UGX 448.8Bn out of which UGX 443Bn was released, resulting in a shortfall of UGX. 5.6Bn which is 2% of the budget. Revenue shortfalls affect the implementation of planned activities. Accounting Officer explained that the underperformance was mainly due to failure to receive donor funding from the EU, and the deduction by MoFPED of amounts to some activities that were to take place during the 4 th quarter due to the Covid-19 pandemic. Performance The", , , , , , , , , 
5, , , , , , , , , , 
6, , , , , , , , , , 
7,"1.3 Under absorption of funds Out of the total receipts for the financial year of UGX 443,150,937,971, UGX 442,996,577,571 was spent by the entity resulting in an unspent balance of UGX 154,360,400 representing an absorption level of 99.9%. The unspent balance at the end of the financial year was subsequently swept back to the Consolidated Fund account. Refer to the table below; Year 2019/20 APP EST “A” (UGX billions) RELEASE “B” (UGX billions) Expenditu re “C” (UGX billions) Unspent “D=(B- C)” (UGX billions) % Absorption 448.8 443.1 442.9 0.2 99.9% under absorption of released funds was caused by failure by the entity to implement some activities like monitoring and evaluation, whose funds had been released but amounts had not yet been paid. absorption of released funds results in non- implementation of planned activities. Accounting Officer explained that there were some delays in the conducting of monitoring and evaluation activities, and that the activities were greatly affected by COVID-19. The Under The", , , , , , , , ,plan I advised the Accounting Officer should and execute activities in time to avoid funds being swept back to the Consolidated Fund
8, , , , , , , , , , 
9, , , , , , , , , , 
10, , , , , , , , , , 
11, , , , , , , , , , 
12, , , , , , , , , , 
13, , , , , , , , , , 
14, , , , , , , , , , 
15,1.4 Implementation of quantified outputs I assessed the implementation of twelve outputs with a total of one hundred fifty three (153) activities that were fully quantified with a total of twenty (20) activities which could not be quantified. I noted the following as shown in the summary in table below and detailed in Appendix II., , , , , , , , ,I advised the Accounting Officer to endeavor to implement planned activities in accordance with approved work plans and budgets.
16, , , , , , , , , , 
