,of level of implementation of Fully of Extent of implementa tion activities per category of output Refer to Appendix II Refer to Appendix II Total no of activiti es Expen diture UGX % of imple menta tion 27% 24% 18% 0.43 28 0.61 24 18 27% 0.263 26 Refer to Appendix II 153 96 1.303 96 Fully implemente d Partially Implemente d Not Quantifiable Not Implemente d 1 Total 75 1 20 57 Quantified outputs Activity details-Analysis Category of output No of activiti es of planned activities implied that the planned service delivery to the intended beneficiaries was not achieved. Accounting Officer explained that this was due to the effect of COVID 19 that led to lockdown in the 4 th quarter. Bn Summary Non-implementation The,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0, , , , , , , , 
1, , , , , , , , 
2, , , , , , , , 
3, , , , , , , , 
4, , , , , , , , 
5, , , , , , , , 
6, , , , , , , , 
7, , , , , , , , 
8, , , , , , , , 
9, , , , , , , , 
10, , , , , , , , 
11, , , , , , , , 
12, , , , , , , , 
13, , , , , , , , 
14, , , , , , , , 
15, , , , , , , , 
16,1.5 Submission of Quarterly Performance Reports Paragraph 55 of the budget execution circular for the financial year 2019/2020 states that the Accounting Officer is required to submit quarterly performance reports by the 30 th day of the first month of the following quarter. entity provided quarterly reports showing quarterly performance but there was no evidence that these reports were submitted to Ministry of Finance together with their corresponding resolutions. to submit performance reports in time is not only contrary to the circular standing instructions it affects the timely evaluation of performance The Failure, , , , , , ,I urged the Accounting Officer should submit the reports on a quarterly as required the guidelines- Verify basis by
