,Acronym,Meaning
0,BOU,Bank of Uganda
1,CoC,Certificates of Compliance
2,CWC,Community Watershed Committee
3,GoU,Government of Uganda
4,IESBA,International Ethics Standards Board for Accountants
5,INTOSAI,International Organisation of Supreme Audit Institutions
6,ISSAIs,International Standards of Supreme Audit Institutions
7,LGFAM,Local Government Financial and Accounting Manual
8,NDP,National Development Plan
9,NPA,National Planning Authority
10,NUSAF,Northern Uganda Social Action Fund
11,PBS,Performance Budgeting System
12,PFMA,Public Finance Management Act
13,TSSA,Treasury Sub Single Account
14,TSA,Treasury Single Account
15,UgIFT,Uganda Intergovernmental Fiscal Transfers Program for Results
16,UGX,Uganda Shillings
17,URF,Uganda Road Fund
