,Program,Output,Planned Target For The FY 20/21,Budgeted Amount UGX (‘000’),Expenditure amount UGX (‘000’),Achieved Target By Financial Year End
0,Passenger Customer Care, , ,Passenger Customer Care, , 
1,"Safety, Health And Environment (SHE) Activities",Safe And Risk Free Operations,Level Crossing Management,"475,540",0.0,"There was no target set to facilitate performance measurement of this target. However, audit noted that level Crossing Management was carried out"
2, , ,Organize Daily Safety Briefs, , ,Daily safety briefs organized
3, , ,Providing Staff With Ppes, , ,Staff not provided With PPEs
4, , ,Regular Safety Compliance Inspections, , ,"Safety There was no target set to facilitate performance measurement of this target. However, audit noted that Regular Compliance Inspections were conducted"
5, , ,Periodical Safety Trainings, , ,"There was no target set to facilitate performance measurement of this target. However, audit noted that 1 training done out of two"
6, , ,Drafting Operations Marines Safety Manual And, , ,Operations And Marines Safety Manual not drafted
7,Management And Control Of Cargo Tracking System,Cargo Visibility And Tracking,Daily System Update,"1,060,000",0.0,"There was no target set to facilitate performance measurement of this target. However, audit noted that Daily System was Updated"
8, , ,System Compliance, , ,System Compliance conducted
9, , ,Joint Procurement Of A Tracking System With TRC, , ,Joint Procurement Of A Tracking System With TRC Not conducted
10, , ,Review To An Independent Control Of The System From NRB Have, , ,Review To Have An Independent Control Of The System From NRB Not conducted
