,SNO,ENTITY,Total Receipts from Donations,Amount Banked,Amount spent at Source
0,98.0,RUKUNGIRI DLG,"80,000,000","80,000,000",0
1,99.0,MBARARA DLG,"8,278,000","8,278,000",0
2,100.0,KISORO DLG,"120,000,000","120,000,000",0
3,101.0,BUSHENYI DLG,"80,000,000","80,000,000",0
4,102.0,KIRUHURA DLG,"40,000,000","40,000,000",0
5,103.0,MITOOMA DLG,"90,000,000","90,000,000",0
6,104.0,SHEEMA DLG,"60,000,000","60,000,000",0
7,105.0,KABALE DLG,"82,571,200","82,571,200",0
8,106.0,RUBANDA DLG,"60,000,000","60,000,000",0
9,107.0,BUHWEJU DLG,"40,000,000","40,000,000",0
10,108.0,RWAMPARA DLG,"20,000,000","20,000,000",0
11,109.0,RUBIRIZI DLG,"5,350,000","5,350,000",0
12,110.0,Abim DLG,"40,000,000","40,000,000",0
13,111.0,Moroto DLG,"40,000,000","40,000,000",0
14,112.0,Kotido DLG,"60,000,000","60,000,000",0
15,113.0,Napak DLG,"40,000,000","40,000,000",0
16,114.0,Nakapiripirit DLG,"25,976,722","25,976,722",0
17,115.0,Karenga DLG,"40,000,000","40,000,000",0
18,116.0,Amolatar District,"40,000,000","40,000,000",0
19,117.0,Soroti District,"2,512,000","2,512,000",0
20,118.0,Kumi District,"40,000,000","40,000,000",0
21,119.0,Ngora District,"40,000,000","40,000,000",0
22, ,TOTAL,"5,610,453,023","4,758,022,623","852,430,400"
