,15,Bugiri DLG,3
0,16.0,Luuka DLG,3
1,17.0,Mayuge DLG,2
2,18.0,Namutumba DLG,2
3,19.0,Kaliro DLG,2
4,20.0,Namayingo DLG,4
5,21.0,Buyende DLG,1
6,22.0,Bugweri DLG,6
7,23.0,MUKONO DLG,4
8,24.0,MPIGI DLG,8
9,25.0,KAYUNGA DLG,40
10,26.0,MITYANA DLG,3
11,27.0,NAKASEKE DLG,7
12,28.0,Kyotera DLG,6
13,29.0,Gomba DLG,1
14,30.0,Manafwa DLG,1
15,31.0,Tororo DLG,2
16,32.0,Budaka DLG,1
17,33.0,Bukwo DLG,2
18,34.0,Kibuku DLG,3
19,35.0,Bulambuli DLG,15
20,36.0,Butebo DLG,5
21,37.0,Kween DLG,1
22,38.0,Nakapiripirit DLG,1
23,39.0,Amuria District,4
24,40.0,Soroti District,2
25,41.0,Dokolo District,5
26,42.0,Kapelebyong District,5
27,43.0,Kalaki District,6
28,44.0,Office of the president,4
29,45.0,Office of the prime minister,4
30,46.0,Ministry of defense,6
31,47.0,National citizenship and Immigration control,6
32,48.0,Kampala Capital city Authority,6
33, ,Total,211
