,Entity,Total Number of quantified Activities,Number fully implemented,Number partially implemented,Number not implemented
0,Arua DLG,15,15,0,0
1,Yumbe DLG,5,5,0,0
2,Obongi DLG,13,13,0,0
3,Adjumani DLG,19,19,0,0
4,Koboko DLG,25,37,0,0
5,Maracha DLG,20,14,6,0
6,Nebbi DLG,11,11,0,0
7,Moyo DLG,49,49,0,0
8,Pakwach DLG,13,13,0,0
9,Kasese DLG,26,26,0,0
10,Kabarole DLG,17,17,0,0
11,Kitagwenda DLG,36,36,0,0
12,Kyenjojo DLG,17,17,0,0
13,Apac DLG,25,25,0,0
14,Alebtong DLG,7,7,0,0
15,Kitgum DLG,12,12,0,0
16,Lira DLG,24,24,0,0
17,Pader DLG,15,0,15,0
18,Agago DLG,27,25,2,0
19,Kwania DLG,11,11,0,0
20,Lamwo DLG,25,20,5,0
21,Nwoya DLG,26,26,0,0
22,Oyam DLG,18,18,0,0
23,Omoro DLG,22,19,0,3
24,Lira RRH,23,20,3,0
25,Hoima DLG,7,7,0,0
26,Kiryandongo DLG,42,41,0,1
27,Masindi DLG,21,21,0,0
28,Kagadi DLG,11,7,4,0
29,Kyankwanzi DLG,18,18,0,0
30,Kiboga DLG,26,22,1,3
31,Buliisa DLG,76,76,0,0
32,Kibaale DLG,50,50,0,0
33,Kakumiro DLG,7,5,2,0
34,Kikuube DLG,14,14,0,0
35,Jinja DLG,7,7,0,0
36,Kamuli DLG,37,37,0,0
37,Iganga DLG,39,39,0,0
38,Bugiri DLG,8,8,0,0
39,Luuka DLG,38,38,0,0
40,Mayuge DLG,4,4,0,0
41,Namutumba DLG,12,12,0,0
42,Kaliro DLG,10,10,0,0
43,Namayingo DLG,6,6,0,0
44,Buyende DLG,25,25,0,0
45,Bugweri DLG,78,78,0,0
46,MUKONO DLG,9,7,2,0
47,WAKISO DLG,5,5,0,0
48,BUIKWE DLG,46,46,0,0
49,MITYANA DLG,24,24,0,0
50,NAKASEKE DLG,37,32,5,0
51,NAKASONGOLA DLG,23,23,0,0
52,BUVUMA DLG,108,108,0,0
53,Entebbe RRH,14,13,1,0
