,Lyantonde DLG,24,24.1,0,0.1
0,Rakai DLG,36,36,0,0
1,Kyotera DLG,31,31,0,0
2,Masaka DLG,36,36,0,0
3,Lwengo DLG,13,13,0,0
4,Kalungu DLG,18,18,0,0
5,Mubende DLG,80,80,0,0
6,Bukomansimbi DLG,35,35,0,0
7,Gomba DLG,40,40,0,0
8,Kassanda DLG,13,13,0,0
9,Manafwa DLG,19,12,0,7
10,Busia DLG,27,27,0,0
11,Mbale DLG,8,8,0,0
12,Butaleja DLG,48,48,0,0
13,Tororo DLG,32,32,0,0
14,Mbale RR Hospital,21,21,0,0
15,Budaka DLG,22,22,0,0
16,Bukwo DLG,4,4,0,0
17,Kibuku DLG,17,17,0,0
18,Sironko DLG,29,29,0,0
19,Bududa DLG,27,27,0,0
20,Pallisa DLG,36,36,0,0
21,Bulambuli DLG,6,6,0,0
22,Kapchorwa DLG,11,11,0,0
23,Namisindwa DLG,22,22,0,0
24,Butebo DLG,7,7,0,0
25,Kween DLG,50,50,0,0
26,RUKIGA DLG,13,13,0,0
27,KIRUHURA DLG,23,16,0,7
28,KABALE DLG,5,5,0,0
29,BUHWEJU DLG,99,99,0,0
30,RUBIRIZI DLG,51,51,0,0
31,Abim DLG,37,37,0,0
32,Moroto DLG,20,20,0,0
33,Kotido DLG,64,64,0,0
34,Kaabong DLG,26,26,0,0
35,Amudat DLG,54,54,0,0
36,Napak DLG,17,17,0,0
37,Nakapiripirit DLG,94,94,0,0
38,Karenga DLG,20,20,0,0
39,Nabilatuk DLG,20,14,0,6
40,Amolatar District,88,88,0,0
41,Amuria District,43,43,0,0
42,Katakwi District,18,16,2,0
43,Soroti District,25,9,14,1
44,Serere District,40,34,2,2
45,Kumi District,22,22,0,0
46,Bukedea District,6,0,6,0
47,Soroti Referal Hospital,24,24,0,0
48,Kaberamaido District,17,17,0,0
49,Dokolo District,33,33,0,0
50,Otuke District,18,10,8,0
51,Ngora District,14,8,5,1
52,Kapelebyong District,14,8,4,2
53,Kalaki District,16,10,6,0
54,Office of the president,9,0,0,0
55,Office of the prime minister,2,0,2,0
56,Ministry of defense,19,19,0,0
57,Ministry of ICT,9,4,5,0
