,45,BUVUMA DLG,Donations not valued
0,46,Entebbe RRH,Donations not valued
1,47,Lyantonde DLG,Donations not valued
2,48,Kalangala DLG,Donations not valued
3,49,Masaka DLG,Donations not valued
4,50,Lwengo DLG,Donations not valued
5,51,Manafwa DLG,Donations not valued
6,52,Busia DLG,Donations not valued
7,53,Mbale DLG,Donations not valued
8,54,Butaleja DLG,Donations not valued
9,55,Tororo DLG,Donations not valued
10,56,Mbale RR Hospital,Donations not valued
11,57,Budaka DLG,Donations not valued
12,58,Bukwo DLG,Donations not valued
13,59,Sironko DLG,Donations not valued
14,60,Bududa DLG,Donations not valued
15,61,Bulambuli DLG,Donations not valued
16,62,Kapchorwa DLG,Donations not valued
17,63,Namisindwa DLG,Donations not valued
18,64,Butebo DLG,Donations not valued
19,65,Kween DLG,Donations not valued
20,66,RUKUNGIRI DLG,Donations not valued
21,67,BUSHENYI DLG,Donations not valued
22,68,RUBANDA DLG,Donations not valued
23,69,IBANDA DLG,Donations not valued
24,70,RWAMPARA DLG,Donations not valued
25,71,Abim DLG,Donations not valued
26,72,Moroto DLG,Donations not valued
27,73,Kotido DLG,Donations not valued
28,74,Kaabong DLG,Donations not valued
29,75,Amudat DLG,Donations not valued
30,76,Nakapiripirit DLG,Donations not valued
31,77,Karenga DLG,Donations not valued
32,78,Amolatar District,Donations not valued
33,79,Amuria District,Donations not valued
34,80,Katakwi District,Donations not valued
35,81,Soroti District,Donations not valued
36,82,Serere District,Donations not valued
37,83,Kumi District,Donations not valued
38,84,Bukedea District,Donations not valued
39,85,Kaberamaido District,Donations not valued
40,86,Dokolo District,Donations not valued
41,87,Otuke District,Donations not valued
42,88,Ngora District,Donations not valued
43,89,Kapelebyong District,Donations not valued
44,90,Kalaki District,Donations not valued
