,38,Bukwo DLG,Donations not taken on Charge
0,39,Bududa DLG,Donations not taken on Charge
1,40,Bulambuli DLG,Donations not taken on Charge
2,41,Kapchorwa DLG,Donations not taken on Charge
3,42,Namisindwa DLG,Donations not taken on Charge
4,43,Butebo DLG,Donations not taken on Charge
5,44,Kween DLG,Donations not taken on Charge
6,45,RUKUNGIRI DLG,Donations not taken on Charge
7,46,MBARARA DLG,Donations not taken on Charge
8,47,BUSHENYI DLG,Donations not taken on Charge
9,48,RUBANDA DLG,Donations not taken on Charge
10,49,KANUNGU DLG,Donations not taken on Charge
11,50,RWAMPARA DLG,Donations not taken on Charge
12,51,Abim DLG,Donations not taken on Charge
13,52,Moroto DLG,Donations not taken on Charge
14,53,Kotido DLG,Donations not taken on Charge
15,54,Kaabong DLG,Donations not taken on Charge
16,55,Amudat DLG,Donations not taken on Charge
17,56,Karenga DLG,Donations not taken on Charge
18,57,Amolatar District,Donations not taken on Charge
19,58,Amuria District,Donations not taken on Charge
20,59,Katakwi District,Donations not taken on Charge
21,60,Soroti District,Donations not taken on Charge
22,61,Kumi District,Donations not taken on Charge
23,62,Bukedea District,Donations not taken on Charge
24,63,Kaberamaido District,Donations not taken on Charge
25,64,Dokolo District,Donations not taken on Charge
26,65,Otuke District,Donations not taken on Charge
27,66,Ngora District,Donations not taken on Charge
28,67,Kapelebyong District,Donations not taken on Charge
29,68,Kalaki District,Donations not taken on Charge
30,69,Kampala Capital city Authority,Donations not taken on Charge
