,No,Entity Name,Audit Comment
0,1,Arua DLG,Distributed items not formally acknowledged by recipients
1,2,Obongi DLG,Distributed items not formally acknowledged by recipients
2,3,Madi Okollo DLG,Distributed items not formally acknowledged by recipients
3,4,Moyo DLG,Distributed items not formally acknowledged by recipients
4,5,Kabarole DLG,Distributed items not formally acknowledged by recipients
5,6,Kamwenge DLG,Distributed items not formally acknowledged by recipients
6,7,Kyegegwa DLG,Distributed items not formally acknowledged by recipients
7,8,Kyenjojo DLG,Distributed items not formally acknowledged by recipients
8,9,Ntoroko DLG,Distributed items not formally acknowledged by recipients
9,10,Alebtong DLG,Distributed items not formally acknowledged by recipients
10,11,Lira DLG,Distributed items not formally acknowledged by recipients
11,12,Amuru DLG,Distributed items not formally acknowledged by recipients
12,13,Oyam DLG,Distributed items not formally acknowledged by recipients
13,14,Hoima DLG,Distributed items not formally acknowledged by recipients
14,15,Kiryandongo DLG,Distributed items not formally acknowledged by recipients
15,16,Kibaale DLG,Distributed items not formally acknowledged by recipients
16,17,Kakumiro DLG,Distributed items not formally acknowledged by recipients
17,18,Kikuube DLG,Distributed items not formally acknowledged by recipients
18,19,Kamuli DLG,Distributed items not formally acknowledged by recipients
19,20,LUWERO DLG,Distributed items not formally acknowledged by recipients
20,21,MPIGI DLG,Distributed items not formally acknowledged by recipients
21,22,BUIKWE DLG,Distributed items not formally acknowledged by recipients
22,23,KAYUNGA DLG,Distributed items not formally acknowledged by recipients
23,24,Manafwa DLG,Distributed items not formally acknowledged by recipients
24,25,Busia DLG,Distributed items not formally acknowledged by recipients
25,26,Tororo DLG,Distributed items not formally acknowledged by recipients
26,27,Budaka DLG,Distributed items not formally acknowledged by recipients
27,28,Kibuku DLG,Distributed items not formally acknowledged by recipients
28,29,Bulambuli DLG,Distributed items not formally acknowledged by recipients
29,30,Namisindwa DLG,Distributed items not formally acknowledged by recipients
30,31,Butebo DLG,Distributed items not formally acknowledged by recipients
31,32,Kween DLG,Distributed items not formally acknowledged by recipients
32,33,RUKUNGIRI DLG,Distributed items not formally acknowledged by recipients
33,34,MBARARA DLG,Distributed items not formally acknowledged by recipients
34,35,BUSHENYI DLG,Distributed items not formally acknowledged by recipients
35,36,RUBANDA DLG,Distributed items not formally acknowledged by recipients
36,37,KANUNGU DLG,Distributed items not formally acknowledged by recipients
37,38,RWAMPARA DLG,Distributed items not formally acknowledged by recipients
38,39,Moroto DLG,Distributed items not formally acknowledged by recipients
39,40,Kotido DLG,Distributed items not formally acknowledged by recipients
40,41,Kaabong DLG,Distributed items not formally acknowledged by recipients
41,42,Karenga DLG,Distributed items not formally acknowledged by recipients
42,43,Amuria District,Distributed items not formally acknowledged by recipients
43,44,Katakwi District,Distributed items not formally acknowledged by recipients
44,45,Serere District,Distributed items not formally acknowledged by recipients
45,46,Bukedea District,Distributed items not formally acknowledged by recipients
46,47,Kaberamaido District,Distributed items not formally acknowledged by recipients
47,48,Dokolo District,Distributed items not formally acknowledged by recipients
48,49,Otuke District,Distributed items not formally acknowledged by recipients
49,50,Office of the prime minister,Distributed items not formally acknowledged by recipients
