No;Entity;Profit After Tax / Surplus;;Increase/
;;for the year (UGX;;Decrease
;;in Bn);;
;;2020/21;2019/20;
1. Uganda Electricity Transmission Company Limited (UETCL) 112.00 54.02 57.97;;;;
2.;Uganda Electricity Generation Company;91.93;2.80;89.14
;(UEGCL);;;
3. National Water and Sewerage Corporation 47.79 27.44 20.35 (NWSC);;;;
4.;Kira Motors Corporation;26.09;;26.10
5. Uganda Development Bank Limited 22.11 10.14 11.97;;;;
6.;Housing Finance Bank Limited;20.69;22.50;(1.80)
7. Pride Micro Finance (Dec 2020) 12.69 12.79 (0.98);;;;
8.;Post Bank Uganda Limited (Dec 2020);10.07;8.38;1.69
9. Uganda Printing and Publishing Corporation 6.25 4.22 2.033;;;;
10.;NEC Luwero;3.68;3.38;0.30
11. Insurance Training college 2.42 0.015 2.42;;;;
12.;Uganda Wildlife Conservation education;1.44;1.74;(0.30)
;Centre;;;
13. Mandela National Stadium 1.08 (0.23) 1.38;;;;
14.;Uganda Property Holdings Limited;0.85;;0.85
15. Uganda Development Corporation (Group) 0.63 (7.32) 7.95;;;;
16.;NEC UZIMA;0.15;0.26;(0.12)
17. Nile Hotel International Limited 0.08 1.24 (1.16);;;;
18.;Uganda Energy Credit Capitalization Co.;(0.87);(0.59);(0.28)
;Ltd;;;
19. Kilembe Mines Limited (0.91) (2.81) (1.10);;;;
20.;New Vision Printing and Publishing;(7.11);2.66;(9.76)
;Company Limited;;;
Uganda Electricity Distribution Company Limited (UEDCL) 21. (10.90) (10.12) (0.78);;;;
22.;Uganda Broadcasting Corporation;(19.32);(7.62);(11.71)
23. Uganda Civil Aviation Authority (UCAA) (27.50) (13.74) (13.78);;;;
24.;Uganda Railways Corporation;(37.78);(61.39);23.60
25. Uganda Wildlife Authority (UWA) (45.05) 5.54 (50.59);;;;
26.;Uganda National Airlines Company Limited;(164.60);(102.45);(62.12)
