Term Definition;
Classified Expenditure;The expenses and commitments incurred by an authorised agency for the
;collection and dissemination of information related to national security
;interests
Contingent Liability A potential liability that may occur depending on the outcome of an uncertain future event.;
Domestic Arrears;Domestic arrears refer to short-term debts incurred by Governments against
;unpaid procurement invoices for supply of goods and services during the
;financial year
External Debt Portion of a country's debt that was borrowed from foreign lenders including commercial banks, Governments or international financial institutions.;
Garnishee order;A form of enforcing a judgment debt against a creditor to recover money.
Nugatory Expenditure Expenditure that does not achieve any result;
Off-budget financing;Off-buget refers to expenditure that is not funded through the budget
Recruitment Refers to the process of attracting, screening, selecting, and on boarding a qualified person for a job, provided by an employer in another territory and the preparation for their departure.;
Revolving Fund;A fund that is continually replenished as withdrawals are made.
