SN Entity Name Under payment of salaries No. of staff who were underpai d Under payment of pension Under payment of gratuity Total No. of staff/pensioner s who were underpaid Under payment of salaries pension and gratuity No. of pensioner s who were underpaid No. of pensioner s who were underpaid;;;;;;;;;
78 Mayuge DLG 9 5,117,190 35 549,849,727 - - 44 554,966,917;;;;;;;;;
79;Mbarara DLG;11;3,905,284;9;10,596,690;-;-;20;14,501,974
80 Mitooma DLG - - - 98,613,476 - - - 98,613,476;;;;;;;;;
81;Mityana DLG;-;-;13;10,042,822;-;-;13;10,042,822
82 Moroto DLG 22 19,477,973 8 125,233,020 - - 30 144,710,993;;;;;;;;;
83;Moyo DLG;8;5,309,700;-;-;-;-;8;5,309,700
84 Mpigi DLG - - 43 117,041,487 13 348,339,516 56 465,381,003;;;;;;;;;
85;Mukono DLG;25;37,704,450;22;42,056,195;7;48,523,554;54;128,284,199
86 Nakapiripirit DLG 32 29,234,183 4 2,243,958 - - 36 31,478,141;;;;;;;;;
87;Nakaseke DLG;362;157,188,123;22;35,843,396;11;581,662,571;395;774,694,090
88 Nakasongola DLG 10 28,977,489 20 34,617,273 5 94,366,350 35 157,961,112;;;;;;;;;
89;Namayingo DLG;11;1,472,229;-;-;-;-;11;1,472,229
90 Namisindwa DLG 8 18,968,499 6 15,100,565 13 248,323,808 27 282,392,872;;;;;;;;;
91;Namutumba DLG;6;6,196,198;10;40,730,382;4;239,392,283;20;286,318,863
92 Napak DLG 50 94,263,918 32 416,640,546 2 47,056,178 84 557,960,642;;;;;;;;;
93;Ngora DLG;70;121,306,601;145;549,800,981;145;549,800,981;360;1,220,908,563
94 Ntoroko DLG 230 318,281,939 5 2,854,253 - - 235 321,136,192;;;;;;;;;
95;Ntungamo DLG;;;2;6,463,912;4;184,789,280;6;191,253,192
96 Nwoya DLG - - 2 29,890,706 1 9,910,534 3 39,801,240;;;;;;;;;
97;Omoro DLG;7;6,134,159;2;3,301,822;26;1,194,067,882;35;1,203,503,863
98 Otuke DLG 37 24,183,765 22 42,146,396 - - 59 66,330,161;;;;;;;;;
99;Oyam DLG;37;21,196,691;27;19,724,462;22;906,177,763;86;947,098,916
100 Pader DLG - - 1 290,625 1 9,979,858 2 10,270,483;;;;;;;;;
101;Pakwach DLG;61;59,456,395;1;10,875,544;-;-;62;70,331,939
102 Pallisa DLG 29 3,611,512 16 2,657,568 - - 45 6,269,080;;;;;;;;;
103;Rakai DLG;-;-;-;-;1;9,673,288;1;9,673,288
104 Rubanda DLG 5 1,552,173 - - - - 5 1,552,173;;;;;;;;;
105;Rubirizi DLG;-;-;1;192,419;1;14,692,860;2;14,885,279
106 Rukiga DLG 14 20,505,827 59 36,139,199 - - 73 56,645,026;;;;;;;;;
107;Rukungiri DLG;20;11,415,980;72;63,457,909;-;-;92;74,873,889
108 Rwampara DLG - - 12 3,200,265 7 12,072,957 19 15,273,222;;;;;;;;;
109;Sembabule DLG;-;-;153;129,347,924;2;80,197,985;155;209,545,909
110 Serere DLG 117 34,040,580 12 121,121,672 219 177,623,830 348 332,786,082;;;;;;;;;
111;Sironko DLG;9;3,872,313;36;2,867,938;2;714,996;47;7,455,247
