SN Entity Name No. of staff paid using wrong scales Under payment arising from wrong scales No. of staff paid using wrong level/notches Under payment arising from wrong level/notches Over payment arising from wrong level/notches Over payment arising from wrong scales;;;;;;;
56 Kitgum DLG - - - 391 763,096 606,107;;;;;;;
57;Koboko DLG;-;-;-;18;2,660,905;111,924
58 Kole DLG - - - 38 496,625 1,179,765;;;;;;;
59;Kumi DLG;;;;46;;3,071,498
60 Kwania DLG 4 6,495,660 386 33,811,755 98,064,057;;;;;;;
61;Kween DLG;-;-;-;40;2,471,699;1,942,501
62 Kyankwanzi DLG 1 36,934 692 13,241,598 1,371,444;;;;;;;
63;Lamwo DLG;;;;;;
64 Lira DLG 41 61,153,105 2,309,916 54 6,721,709 21,187,494;;;;;;;
65;Luuka DLG;-;-;-;533;78,856,224;-
66 Luwero DLG 84 1,192,717 58,795,487 1,021 159,782,804 37,639,077;;;;;;;
67;Lwengo DLG;-;-;-;161;-;1,746,555
68 Lyantonde DLG - - - 240 36,810,142 27,421,239;;;;;;;
69;Madi-Okollo DLG;3;-;13,028,412;364;44,922,682;45,822,211
70 Manafwa DLG 49 2,999,221 3,992,491 39 2,326,483 17,700;;;;;;;
71;Maracha DLG;-;-;-;456;73,736,882;30,404,695
72 Masaka DLG - - - 146 19,477,354 -;;;;;;;
73;Masindi DLG;4;5,229,989;3,909,912;518;37,616,384;102,025,875
74 Mayuge DLG - - - 212 34,170,782 1,954,848;;;;;;;
75;Mbale DLG;-;-;-;32;3,304,547;16,095,368
76 Mitooma DLG - - - 82 28,040,621 -;;;;;;;
77;Moroto DLG;-;-;-;362;36,171,133;11,516,460
78 Moyo DLG - - - 258 15,445,842 21,578,973;;;;;;;
79;Mpigi DLG;-;-;-;51;28,003,018;-
80 Mubende DLG - - - 212 4,885,857 6,158,210;;;;;;;
81;Mukono DLG;28;607,972,506;19,830,096;506;144,933,326;-
82 Nakapiripirit DLG - - - 177 2,319,250 2,421,098;;;;;;;
83;Nakaseke DLG;-;-;-;93;5,177,017;1,278,305
84 Nakasongola DLG - - - 504 7,403,212 525,752;;;;;;;
85;Namayingo DLG;-;-;-;261;45,716,806;3,392,736
86 Namisindwa DLG - - - 511 9,882,656 27,680,666;;;;;;;
87;Namutumba DLG;-;-;-;40;26,837,268;1,229,349
88 Napak DLG - - - 212 28,658,716 45,396,242;;;;;;;
89;Nebbi DLG;-;-;-;362;46,976,448;101,224,523
90 Ntoroko DLG - - - 293 1,831,126 12,231,749;;;;;;;
