No. of staff with varia nce betw een My appro vals and active deduc tions Variance Amount between My approvals and active deductions Variance Amount between monthly deduction amounts in active deductions report No. of staff from which Variance between monthly deductio n amounts in active deductio ns report No. of staff from which Loan deduc tions were over and above the appro ved amou nts Entity Name Amount deducted from staff without letters of undertaking No. of staff witho ut letters of under taking Amount deducted past end date Average length of abnormal dates (years ranging from to) No. of staff with unre alist ic end date s Amount deducted from staff with abnormal end dates Amount deducted from staff with un- approved loans No. of staff with un- appr oved loans Amount deducted over and above the approved amounts No. of staff with loan s ded ucti ons past end date s;;;;;;;;;;;;;;;
Rukungiri DLG;0;0;0;0;178;9 to 1412;210,026,136;0;0;0;0;1,77;193,174,533;0;0
;;;;;;;;;;;;8;;;
Rwampara DLG 0 0 6 1,007,054 0 0 0 0 0 0 0 0 156 12,087,434;;;;;;;;;;;;;;;
Sembabule DLG;135;126,779,039;12;15,679,825;4;10 to 11;1,974,554;41;45,636,611;770;97,302,172;258;6,784,450;372;5,229,322
Serere DLG 83 277,143,706 7 8,589,388 39 9 to 80 6,435,030 0 0 0 0 0 0 0 0;;;;;;;;;;;;;;;
Sheema DLG;0;0;68;26,414,353;85;9 to 172;72,160,119;33;18,938,753;35;3,672,225;;;;
Sironko DLG 0 0 31 21,301,821 4 47 to 96 677,270 0 0 0 0 0 0 0 0;;;;;;;;;;;;;;;
Soroti DLG;0;0;13;2,828,410;60;9 to 333;77,144,222;63;32,737,209;92;2,521,018;0;0;0;0
Terego DLG 0 0 0 0 0 0 122 149,576,412 93 8,488,586 0 0 0 0;;;;;;;;;;;;;;;
Tororo DLG;130;26,488,136;0;0;0;;0;0;0;9;722,535;;33,633,069;;23,710,317
Wakiso DLG 0 0 49 10,023,976 143 204,453,730 24 16,442,942 136 4,042,000 117 5,657,588 0 0;;;;;;;;;;;;;;;
Yumbe DLG;0;0;0;0;0;;0;15;2,595,697;0;0;0;0;0;0
Zombo DLG 0 0 5 5,370,075 5 0 to 4 5,370,075 30 22,465,074 0 0 0 0 0 0;;;;;;;;;;;;;;;
Total;15,00;20,792,707,0;2,14;1,458,405,;2,72;;4,745,884,699;8,46;8,885,902,3;8,756;1,643,636,;6,8;597,776,37;8,935;694,882,95
;2;30;3;180;9;;;8;11;;038;75;4;;7
