15 Extra works Kazo DLG 73,558,022;;;;;;;;;
16;Labour suit remodelling at Budaka;Budaka;42,495,075;52,300,000;48,639,000;3,661,000;38%;52%;WIP
;HC IV;District;;;;;;;
17 Construction of Pit Latrine at Lyama HC III 18,014,500;;;;;;;;;
18;Construction of a Placenta Pit at;;15,430,275;;;;;;
;Naboa HC III;;;;;;;;
19 Repair of House at Kameruka HC III 18,726,225;;;;;;;;;
20;Fencing Facility at Kerekerene HC III;;15,372,000;;;;;;
21 Fencing at Mugiti HC III 17,350,000;;;;;;;;;
22;Construction Of A General Maternity;Nebbi;305,941,656;305,941,656;284,525,740;21,415,916;93%;60%;WIP
;Ward At Ossi Health Centre- Phase-I;District;;;;;;;
23 Renovation Of Kikobe Health Centre II OPD;;;;;;;;;
24;Renovation Of Jupangira Health;;;;;;;;
;Centre II OPD;;;;;;;;
25 Construction Of 2 Stance Washroom At Jupangira Health Centre II OPD;;;;;;;;;
26;Construction Of 4stance VIP Latrine;;;;;;;;
;In Erussi Health Centre II;;;;;;;;
27 Fencing Of Nyaravur Health Centre III;;;;;;;;;
28;Construction of Staff house at;Kisoro;507,616,737;507,616,737;253,808,369;253,808,369;50%;58%;WIP
;Mulehe HC;District;;;;;;;
29 Construction of Bunagana Gen Ward;;;;;;;;;
30;Construction of Bukuya HC IV;Kasanda;1,358,143,675;950,000,000;703,635,255;246,364,745;52%;40%;WIP
;;District;;;;;;;
31 Mpigi 59,228,805 319,709,326 228,592,168 91,117,158 68% 60% WIP District Expnsion and remodelling of the OPD at Buwama HC III;;;;;;;;;
32;General repairs, remodelling,;;88,005,475;;;;;;
;partitioning, re-roofing & electrical;;;;;;;;
;installation of the olf staff hous at;;;;;;;;
;Kampiringisa HC III;;;;;;;;
33 General Renovation of Kafumu HC II 17,376,108;;;;;;;;;
34;General Renovation of MCH Block at;;19,882,233;;;;;;
;Bunjanko HC III;;;;;;;;
35 Installation of 10,000 litre tank at Ggolo HC III 5,217,250;;;;;;;;;
