Deductions from the payroll;;;;;
MONTH (A);PAYE;LST;UMWU;UBA;RENT
JULY;95,701,880;5,451,250;1,732,909;17,649,650;1,980,000
AUGUST;96,742,350;5,338,750;1,713,337;17,666,987;1,980,000
SEPTEMBER;95,289,852;5,238,750;1,713,337;17,787,737;1,940,000
OCTOBER;99,741,992;5,193,750;1,623,529;18,174,227;1,915,000
NOVEMBER;103,704,764;-;1,623,529;17,698,082;1,915,000
DECEMBER;98,311,202;-;1,623,529;17,753,093;1,915,000
JANUARY;97,685,210;-;1,623,529;18,949,695;1,965,000
FEBRUARY;96,823,357;-;1,623,529;18,765,197;1,955,000
MARCH;98,306,889;-;1,566,829;17,528,694;1,945,000
APRIL;96,796,552;-;1,555,811;18,696,494;1,945,000
MAY;96,820,381;-;1,515,953;18,767,607;1,940,000
JUNE;97,037,190;-;1,515,953;18,252,747;1,940,000
TOTAL;1,172,961,619;21,222,500;19,431,774;217,690,210;23,335,000
Amount remitted to statutory organization;;;;;
MONTH (B);;;;;
JULY;95,701,880;5,426,250;1,732,909;17,649,650;-
AUGUST;96,742,350;5,338,750;1,713,337;17,666,987;-
SEPTEMBER;95,289,852;3,276,250;1,713,337;17,787,737;-
OCTOBER;99,741,992;3,346,250;1,623,529;18,174,227;-
NOVEMBER;103,704,764;-;1,623,529;17,698,082;-
DECEMBER;98,311,202;-;1,623,529;17,753,093;-
JANUARY;97,685,210;-;1,623,529;18,949,695;-
FEBRUARY;96,823,357;-;1,623,529;18,765,197;-
MARCH;98,306,889;-;1,566,829;17,528,694;-
APRIL;96,796,552;-;1,555,811;18,408,061;-
MAY;96,820,381;-;1,515,953;18,767,607;-
JUNE;97,037,190;-;1,515,953;18,252,747;-
TOTAL;1,172,961,619;17,387,500;19,431,774;217,401,777;-
variation (A-B);0;3,835,000;0;288,433;23,335,000
