S/N;Project Name;Amount Invested as at 30 th June;Challenge
;;2020 (UGX in Bn);
01;Soroti Fruit factory;23.76;Additional machinery was
;;;procured to cater for the user
;;;needs not identified at planning
;;;stage
02 Kigezi Highland 14.03 leading Additional funds to support raw material uptake to project cost-overruns;;;
03;Mabale Tea Factory;16.6;Change of user needs during
;;;implementation
04 Kayonza tea factory 14.06 Project satisfactory objective of decision on Government realised. performance however, the the is yet is the investment of to be part;;;
05;Atiak Sugar factory;88.8;Inadequate inputs to match the
;;;factory capacity
Total 157.25;;;
