No.;Entity;Return on Asset (%);
;;2019/20;2020/21
1. Uganda Wildlife Conservation education Centre 49.9 48.1;;;
2.;Kira Motors Corporation;41;43
3. NEC Constructions Construction Works and Engineering Limited 10.8 31;;;
4.;Uganda Electricity Transmission Company Limited;26.2;26.4
5. Uganda Printing and Publishing Corporation 2.16 22.06;;;
6.;NEC UZIMA;6.3;12.1
7. NEC Luwero 12.5 10;;;
8.;Pride Micro Finance (Dec 2020);4;3.3
9. Uganda Development Bank Limited 3.16 2.91;;;
10.;Housing Finance Bank Limited;2.9;2.5
11. Post Bank Uganda Limited (Dec 2020) 2.57 2.25;;;
12.;Uganda Development Corporation (Group);-405.4;1.8
13. Uganda Post Limited 1 1;;;
14.;Uganda Electricity Generation Company;0.69;0.79
15. Mandela National Stadium -0.16 0.6;;;
16.;Uganda Property Holdings Limited;0.4;0.33
17. National Water and Sewerage Corporation 1.45 0.26;;;
18.;Nile Hotel International Limited;0.67;0.04
19. New Vision Printing and Publishing Company Limited 5.28 -0.4;;;
20.;Uganda Electricity Distribution Company Limited;-0.56;-0.56
21. Uganda Railways Corporation -1.66 -1.03;;;
22.;Uganda Civil Aviation Authority;0.48;-2.4
