15;Busia DLG;-;-;6;6,106,392;-;-;6;6,106,392
16 Butaleja DLG 4 3,586,208 4 2,804,668 8 6,390,876;;;;;;;;;
17;Butambala DLG;6;2,557,693;2;91,466;-;-;8;2,649,159
18 Butebo DLG 47 87,266,942 1 4,877,817 48 92,144,759;;;;;;;;;
19;Dokolo DLG;5;3,056,043;3;3,264,438;-;-;8;6,320,481
20 Gomba DLG 1 956,585 - - - - 1 956,585;;;;;;;;;
21;Gulu DLG;-;-;1;5,146,400;-;-;1;5,146,400
22 Hoima DLG 13 6,111,973 4 915,759 - - 17 7,027,732;;;;;;;;;
23;Jinja DLG;4;2,129,357;-;-;-;-;4;2,129,357
24 Kaberamaido DLG 18 23,958,485 3 669,814 - - 21 24,628,299;;;;;;;;;
25;Kaliro DLG;135;285,976,606;32;777,616,336;-;-;167;1,063,592,942
26 Kamuli DLG - - 3 17,418,396 - - 3 17,418,396;;;;;;;;;
27;Kanungu DLG;4;5,717,905;-;-;-;-;4;5,717,905
28 Kapelebyong DLG 3 1,765,908 - - - - 3 1,765,908;;;;;;;;;
29;Kasanda DLG;27;15,293,916;;;;;27;15,293,916
30 Kasese DLG 4 698,659 - - - - 4 698,659;;;;;;;;;
31;Katakwi DLG;12;6,937,546;-;-;-;-;12;6,937,546
32 Kayunga DLG 723,674 - - - - - 723,674;;;;;;;;;
33;Kazo DLG;6;1,799,529;1;684,126;1;26,824;8;2,510,479
34 Kibaale DLG 3 1,259,797 - - 1 4,387,638 4 5,647,435;;;;;;;;;
35;Kiboga DLG;5;2,950,495;3;740,633;-;-;8;3,691,128
36 Kikuube DLG - - - - 4 24,438,089 4 24,438,089;;;;;;;;;
37;Kiryandongo DLG;32;23,496,128;-;-;-;-;32;23,496,128
38 Kitagwenda DLG 14 9,703,322 - - 3 6,526,823 17 16,230,145;;;;;;;;;
39;Koboko DLG;16;9,725,864;2;617,388;-;-;18;10,343,252
40 Kole DLG 9 10,355,488 - - - - 9 10,355,488;;;;;;;;;
41;Kwania DLG;31;10,998,352;11;5,999,040;-;-;42;16,997,392
42 Kyankwanzi DLG 7 5,380,630 1 1,061,078 - - 8 6,441,708;;;;;;;;;
43;Kyegegwa DLG;18;4,113,500;-;-;3;7,073,127;21;11,186,627
44 Kyenjojo DLG 5 2,915,122 1 1,441,878 - - 6 4,357,000;;;;;;;;;
45;Lamwo DLG;46;10,356,930;6;593,404;-;-;52;10,950,334
46 Lwengo DLG 2 1,203,776 - - - - 2 1,203,776;;;;;;;;;
47;Lyantonde DLG;14;29,361,140;-;-;-;-;14;29,361,140
48 Masindi DLG 10 5,049,517 - - - - 10 5,049,517;;;;;;;;;
49;Mbale DLG;-;-;1;7,004,740;4;18,675,277;5;25,680,017
50 Mbarara DLG 4 931,611 4 931,611;;;;;;;;;
51;Moroto DLG;3;10,907,516;44;20,346,066;-;-;47;31,253,582
52 Mukono DLG 16 18,258,007 4 5,596,903 1 1,960,420 21 25,815,330;;;;;;;;;
53;Nakapiripirit DLG;18;6,143,716;-;-;3;1,492,448;21;7,636,164
