SN Entity Name No. of staf f who dela yed to acce ss payr oll Aver age delay s to acce ss the wage payr oll (mon ths) No. of staff with outstandi ng payments by end of FY arising from delayed access by newly recruited/ transferre d staff Amount outstanding arising from delayed access by newly recruited/tr ansferred staff No. of pensioners /beneficiari es who delayed to access payroll Average delays to access the pension payroll (month s) No. of pensioner s/benefic iaries with outstandi ng payments by end of FY Amount outstanding arising from delayed access by pensioners/b eneficiaries Amount paid to employees after expected date of removal Aver age delay s to leave the wage payr oll (mon ths) No. of staff who dela yed to be remo ved from the payr oll;;;;;;;;;;;;
26 Buvuma DLG 28 2 0 0 0 0 0 0 3 2 2,108,118;;;;;;;;;;;;
27;Buyende DLG;9;3;8;15,530,331;16;4;16;12,408,972;;;
28 Dokolo DLG 2 9 0 0 9 8 0 0 5 2 4,038,474;;;;;;;;;;;;
29;Gomba DLG;28;2;11;16,039,658;4;16;0;0;2;5;4,191,898
30 Gulu DLG 0 0 0 0 0 0 0 0 5 5 8,073,588;;;;;;;;;;;;
31;Hoima DLG;12;4;8;4,353,766;18;65;12;16,610,474;9;1;5,407,462
32 Ibanda DLG 0 0 0 0 8 7 0 0 2 2 2,667,772;;;;;;;;;;;;
33;Iganga DLG;47;2;46;29,675,874;6;3;6;8,900,893;4;2;1,828,155
34 Jinja DLG 29 3 0 0 24 5 4 1 2,207,975;;;;;;;;;;;;
35;Kabale DLG;124;2;0;0;7;1;1;2,297,466;4;4;9,871,509
36 Kabarole DLG 10 2 0 0 1 1 0 0 3 1 702,856;;;;;;;;;;;;
37;Kaberamaido DLG;172;3;12;52,473,454;10;10;10;297,871;2;1;2,773,761
38 Kagadi DLG 105 0 0 0 10 4 3 942,137 20 5 34,895,609;;;;;;;;;;;;
39;Kakumiro DLG;12;3;66;74,033,793;4;3;5;3,443,014;12;10;15,518,066
40 Kalaki DLG 20 1 0 0 1 17 0 0 1 11 1,199,736;;;;;;;;;;;;
41;Kalangala DLG;16;1;16;30,122,334;3;13;0;0;0;0;0
42 Kaliro DLG 43 4 0 0 11 5 0 0 6 3 11,466,319;;;;;;;;;;;;
43;Kalungu DLG;15;1;0;0;5;26;0;0;0;0;0
44 Kamuli DLG 28 4 8 5,352,558 22 1 22 4,159,714;;;;;;;;;;;;
45;Kamwenge DLG;72;1;3;2,732,041;6;2;6;5,744,846;5;2;6,125,172
46 Kanungu DLG 12 3 12 5,430,339 8 5 0 0 4 3 4,936,460;;;;;;;;;;;;
47;Kapchorwa DLG;;;;;17;;17;25,082,986;5;;2,578,750
48 Kapelebyong DLG 2 5 2 3,155,787 6 2 3 15,984,791 3 1 1,814,999;;;;;;;;;;;;
49;Kasanda DLG;9;1;;;9;1;0;0;8;3;10,652,062
50 Kasese DLG 10 2 10 11,596,763 7 2 3 2,658,026 4 2 6,663,973;;;;;;;;;;;;
51;Katakwi DLG;9;7;4;42,998,527;12;5;8;6,381,807;0;0;0
