Entity Name Amount deducted from staff without letters of undertaking No. of staff witho ut letters of under taking Amount deducted past end date Average length of abnormal dates (years ranging from to) No. of staff with unre alist ic end date s Amount deducted from staff with abnormal end dates Amount deducted from staff with un- approved loans No. of staff with un- appr oved loans No. of staff with loan s ded ucti ons past end date s No. of staff from which Loan deduc tions were over and above the appro ved amou nts Amount deducted over and above the approved amounts Variance Amount between My approvals and active deductions Variance Amount between monthly deduction amounts in active deductions report No. of staff from which Variance between monthly deductio n amounts in active deductio ns report No. of staff with varia nce betw een My appro vals and active deduc tions;;;;;;;;;;;;;;;
Amudat DLG;92;119,813,541;4;2,057,917;0;;0;4;3,527,541;21;1,257,778;0;0;0;0
Amuria DLG 272 28,882,820 0 0 0 0 110 10,345,961 116 45,240,985 0 0 0 0;;;;;;;;;;;;;;;
Amuru DLG;417;647,330,578;2;4,858,988;29;11 to 590;34,210,170;64;2,467,844;0;0;0;0;0;0
Apac DLG 478 742,438,306 5 1,585,074 3 69 to 1499 3,120,636 60 71,051,264 84 73,965,427;;;;;;;;;;;;;;;
Arua DLG;0;0;5;670,980;16;9 to 51;15,860,074;82;22,253,294;0;0;0;0;0;0
Budaka DLG 96 175,852,054 12 2,438,471 6 196,286 50 9,145,250;;;;;;;;;;;;;;;
Bududa DLG;0;0;3;610,176;4;9 to 1412;61,029;6;843,965;11;828,063;0;0;0;0
Bugiri DLG 281 808,378,322 218 215,166,058 171 226,628,417 131 183,071,422;;;;;;;;;;;;;;;
Bugweri DLG;299;568,486,881;;;13;12 to 63;24,245,070;23;15,975,791;67;3,323,576;;;;
Buhweju DLG 0 0 0 0 0 0 0 0 0 0 496 67,760,094 496 67,760,094;;;;;;;;;;;;;;;
Buikwe DLG;453;714,056,547;36;6,972,020;50;9 to 84;0;59;58,096,948;94;8,000,281;0;0;0;0
Bukedea DLG 27 32,256,931 42 28,288,094 0 0 19 25,470,036 0 0 24 1,302,198 300 20,339,052;;;;;;;;;;;;;;;
Bukomansimbi DLG;0;0;0;0;20;9 to 43;23,813,207;0;0;0;0;6;0;122;7,136,646
Bukwo DLG 7 13 to 35 13,656,161 57 9,873,428 106 7,960,954;;;;;;;;;;;;;;;
Bulambuli DLG;0;0;0;0;0;;0;33;5,911,187;0;0;24;7,080,085;;
Buliisa DLG 138 256,656,828 5 6,006,712 0 0 2 4,270,800 16 11,970,780 0 0 0 0;;;;;;;;;;;;;;;
Bundibugyo DLG;0;0;14;7,200,896;69;9 to 381;154,102,203;27;17,523,457;23;35,581,481;0;0;0;0
Bunyangabu DLG 0 0 9 2,029,155 24 9 to 149 52,362,610 70 91,149,019 104 219,224,727 64 4,041,609 111 2,827,028;;;;;;;;;;;;;;;
Bushenyi DLG;0;0;0;0;0;;0;0;0;0;0;;;;
Busia DLG 75 16,527,300 44 6,522,948 1 0 0 0 0;;;;;;;;;;;;;;;
Butaleja DLG;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
Butambala DLG 0 0 4 639,250 6 15,227,927 19 22,011,876 145 13,740,152 140 13,771,032 36 3,174,711;;;;;;;;;;;;;;;
Butebo DLG;0;0;0;0;0;;;80;145,413,728;121;513,854;;;;
Buvuma DLG 0 0 4 771,823 20 9 to 12 32,424,902 8 4,317,648 0 0;;;;;;;;;;;;;;;
Buyende DLG;562;1,016,683,423;0;0;0;;0;577;1,019,461,431;6;578,629;0;0;0;0
Dokolo DLG 39 32,199,959 0 0 0 0 0 0 90 14,602,075 0 0 0 0;;;;;;;;;;;;;;;
Gomba DLG;0;0;23;15,641,080;0;;0;11;8,251,701;33;1,214,804;108;1,051,704;108;1,237,069
Gulu DLG 6 10,251,751 45 9 to 232 74,553,000 8 1,468,850 27 3,483,930 0 0 0 0;;;;;;;;;;;;;;;
