Entity Name Amount deducted from staff without letters of undertaking No. of staff witho ut letters of under taking Amount deducted past end date Average length of abnormal dates (years ranging from to) No. of staff with unre alist ic end date s Amount deducted from staff with abnormal end dates Amount deducted from staff with un- approved loans No. of staff with un- appr oved loans No. of staff with loan s ded ucti ons past end date s No. of staff from which Loan deduc tions were over and above the appro ved amou nts Amount deducted over and above the approved amounts Variance Amount between My approvals and active deductions Variance Amount between monthly deduction amounts in active deductions report No. of staff from which Variance between monthly deductio n amounts in active deductio ns report No. of staff with varia nce betw een My appro vals and active deduc tions;;;;;;;;;;;;;;;
Hoima DLG;;;33;27,367,073;17;9 to 18;24,740,797;8;450,965;64;5,864,972;0;0;0;0
Ibanda DLG 0 0 0 0 0 0 35 42,576,583 96 2,391,812 14 113,938 162 27,117,958;;;;;;;;;;;;;;;
Iganga DLG;927;168,552,545;34;20,335,569;;;;73;90,057,326;28;2,768,907;;;;
Isingiro DLG 0 0 0 0 11 11 to 106 1,622,788 14 2,619,177 0 0;;;;;;;;;;;;;;;
Jinja DLG;;;36;23,742,370;76;9 to 202;60,277,692;82;58,498,171;65;4,953,403;;;;
Kabale DLG 0 0 5 3,408,639 0 0 0 0 0 0 143 3,842,433 657 47,227,638;;;;;;;;;;;;;;;
Kabarole DLG;0;0;0;0;0;;0;444;619,946,407;29;1,824,784;18;2,057,441;37;1,550,651
Kaberamaido DLG 0 0 7 10,017,669 0 0 11 12,754,733 55 3,475,301 14 1,878,489 55 3,475,301;;;;;;;;;;;;;;;
Kagadi DLG;845;1,681,647,581;2;664,600;63;9 to 252;126,923,539;150;233,479,947;16;7,262,432;0;0;0;0
Kakumiro DLG 275 515,960,731 0 0 23 9 to 145 38,565,990 29 62,083,492 20 1,065,390 0 0 0 0;;;;;;;;;;;;;;;
Kalaki DLG;0;0;13;11,820,457;0;;0;272;302,340,063;0;0;41;1,552,219;182;4,718,799
Kalangala DLG 45 42,843,106 16 3,161,180 9 9 to 129 9,042,408 34 40,572,513 0 0;;;;;;;;;;;;;;;
Kaliro DLG;;;40;39,870,979;71;9 to 965;123,390,571;62;95,675,157;76;4,264,771;;;;
Kalungu DLG 0 0 0 0 8 19 to 252 12,981,766 23 6,299,952 28 1,447,526 80 2,759,126 17 0;;;;;;;;;;;;;;;
Kamuli DLG;1,346;2,136,372,466;14;5,649,245;87;8 to 222;141,966,827;935;1,352,661,144;100;11,176,978;;;;
Kamwenge DLG 0 0 25 10,372,584 10 3 to 59 18,169,810 0 0 8 1,107,607 0 0 0 0;;;;;;;;;;;;;;;
Kanungu DLG;0;0;0;0;27;10 to 20;16,970,368;67;60,634,863;41;3,509,122;26;2,803,229;75;3,860,983
Kapchorwa DLG 10 1,825,092 165 12,230,438;;;;;;;;;;;;;;;
Kapelebyong DLG;0;0;14;7,060,981;0;;0;22;9,049,782;25;1,360,663;0;0;0;0
Kasanda DLG 50 101,191,408 4 1,474,152 113 125,902,600 61 3,505,979;;;;;;;;;;;;;;;
Kasese DLG;0;0;146;151,923,363;3;010 to 010;566,750;44;44,119,766;64;5,641,196;92;;200;
Katakwi DLG 9 0 2 1,939,178 0 0 22 3,147,144 27 3,551,731 0 0 0 0;;;;;;;;;;;;;;;
Kayunga DLG;24;229,718,762;0;0;50;;83,412,229;114;128,141,518;643;66,341,549;N/A;N/A;N/A;N/A
Kazo DLG 0 0 2 363,534 0 0 0 0 0 0 0 0 129 5,188,037;;;;;;;;;;;;;;;
Kibaale DLG;335;685,049,938;1;336,000;27;9 to 1412;47,153,523;64;86,100,423;28;1,447,526;0;0;0;0
Kiboga DLG 0 0 11 9,389,274 0 0 16 2,251,003 0 0 0 0 0 0;;;;;;;;;;;;;;;
Kibuku DLG;;;;;;;;15;2,416,343;;;;;;
Kikuube DLG 0 0 0 0 0 0 48 39,071,360 54 7,023,679 0 0 0 0;;;;;;;;;;;;;;;
