SN Local Government Cummulative Amount Disbursed Cummulative Amount %recovery Recovered Amount Due as at 30/June/2022;;;;;
65;KANUNGU;1,393,173,400;272,560,000;1,120,613,400;20%
66 KAPCHORWA 469,971,751 69,495,000 400,476,751 15%;;;;;
67;KAPCHORWA MC;508,972,000;56,621,196;452,350,804;11%
68 KAPELEBYONG 360,889,106 62,402,005 298,487,101 17%;;;;;
69;KARENGA;364,008,064;84,604,000;279,404,064;23%
70 KASESE 2,986,384,150 1,015,351,135 1,971,033,015 34%;;;;;
71;KASESE MC;674,304,680;197,189,556;477,115,124;29%
72 KASSANDA 964,655,000 84,891,000 879,764,000 9%;;;;;
73;KATAKWI;991,688,017;120,580,040;871,107,977;12%
74 KAYUNGA 1,655,566,238 413,718,382 1,241,847,856 25%;;;;;
75;KAZO;464,052,000;301,624,350;162,427,650;65%
76 KIBAALE 1,122,930,800 326,141,833 796,788,967 29%;;;;;
77;KIBOGA;809,194,000;149,989,800;659,204,200;19%
78 KIBUKU 962,687,076 120,600,000 842,087,076 13%;;;;;
79;KIKUUBE;1,077,008,125;285,373,626;791,634,499;26%
80 KIRA MC 686,970,000 140,053,067 546,916,933 20%;;;;;
81;KIRUHURA;1,112,725,500;375,657,030;737,068,470;34%
82 KIRYANDONGO 1,176,794,226 203,594,715 973,199,511 17%;;;;;
83;KISORO;1,374,493,000;517,000,000;857,493,000;38%
84 KISORO MC 459,066,000 90,156,150 368,909,850 20%;;;;;
85;KITAGWENDA;641,411,200;166,004,250;475,406,950;26%
86 KITGUM 1,388,055,300 197,450,000 1,190,605,300 14%;;;;;
87;KITGUM MC;450,846,000;31,162,335;419,683,665;7%
88 KOBOKO 887,932,898 213,074,409 674,858,489 24%;;;;;
89;KOBOKO MC;455,052,960;113,350,000;341,702,960;25%
90 KOLE 997,144,700 167,464,965 829,679,735 17%;;;;;
91;KOTIDO;1,049,044,396;701,350,000;347,694,396;67%
92 KOTIDO MC 1,193,020,136 360,890,000 832,130,136 30%;;;;;
93;KUMI;801,804,654;184,000,000;617,804,654;23%
94 KUMI MC 409,137,000 134,127,605 275,009,395 33%;;;;;
95;KWANIA;774,268,000;89,949,400;684,318,600;12%
96 KWEEN 986,832,727 195,179,150 791,653,577 20%;;;;;
97;KYANKWANZI;583,793,000;365,794,200;217,998,800;63%
98 KYEGEGWA 1,164,039,300 652,734,400 511,304,900 56%;;;;;
99;KYENJOJO;2,391,590,500;544,607,490;1,846,983,010;23%
100 KYOTERA 930,522,250 135,899,400 794,622,850 15%;;;;;
101;LAMWO;1,597,171,000;71,578,000;1,525,593,000;4%
