Acronym;Meaning
CDC;Centre for Disease Control
FY;Financial Year
GAVI;Global Alliance for Vaccines and Immunization
HCMS;Human Capital Management System
HR;Human Resource
IFMS;Integrated Financial Management System
INTOSAI;International Organization of Supreme Audit Institutions
IPPS;Integrated Payroll Personnel System
ISSAIs;International Standards of Supreme Audit Institutions
LST;Local Service Tax
MDAs;Ministries, Departments and Agencies
MoFPED;Ministry of Finance, Planning and Economic Development
MoPS;Ministry of Public Service
MTEF;Medium Term Expenditure Framework
NSSF;National Social Security Fund
NTR;Non-Tax Revenue
OAG;Office of the Auditor General
PAYE;Pay As You Earn
PBS;Program Budgeting System
PCA;Payroll Consults Africa
PDMS;Payroll Deduction Management System
PFMA;Public Finance Management Act
PFMR;Public Finance Management Regulations
PSST;Permanent Secretary/ Secretary to Treasury
RRH;Regional Referral Hospital
UCLA/UBA;Uganda Consumer Lenders’ Association/ Uganda Bankers Association
UGX;Uganda Shillings
UNICEF;United Nation International Children’s Emergency Fund
VAT;Value Added Tax
WHT;Withholding Tax
