9;040283 Border Post Rehabilitation / Construction;298,883,115;80.3
10;040304 Monitoring and Capacity Building Support;10,598,160;80.9
11;040402 Monitoring and Capacity Building;13,288,450;81.6
12;040473 Roads, Streets and Highways;116,432,487;88
13;040474 Major Bridges;23,461,350;89.3
14;040481 Urban Roads Construction and Rehabilitation (Bitumen Standard);11,967,419;90
15;040505 Operation and Maintenance of MV Kalangala Ship;35,488,000;91.9
16;040551 Transfers to Regional Mechanical Workshops;16,588,600;92.8
17;044919 Human Resource Management Services;24,080,823;94.1
;Total;1,712,272,869;94.1
